question,response_0,response_1,response_2,response_3,response_4,response_5,response_6,response_7,response_8,response_9,semantic_id_0,semantic_id_1,semantic_id_2,semantic_id_3,semantic_id_4,semantic_id_5,semantic_id_6,semantic_id_7,semantic_id_8,semantic_id_9,confidences,responses,level
"What is the name of the academic editor of the 2021 research paper titled ""Classification of Relaxation and Concentration Mental States with EEG"" by Shingchern D. You?",The academic editor of the 2021 research paper was Dr. Kai-Fu Chen.,Dr. Michael J. Riggs.,"The academic editor of the 2021 paper ""Classification of Relaxation and Concentration Mental States with EEG"" by Shingchern D. You",The academic editor of the 2021 paper was Dr. Yu-Ting Lin.,Dr. Lihong Wang is the academic editor of that research paper.,The academic editor of the 2021 research paper was Dr. Robert J. Mair.,Dr. Andrew D. Hefferman.,"The academic editor of the 2021 research paper ""Classification of Relaxation and Concentration Mental States with EEG"" by Shingchern D. You","The academic editor of the 2021 research paper ""Classification of Relaxation and Concentration Mental States with EEG"" by Shingchern D. You",The academic editor of the 2021 research paper was Dr. David A. G. S. Wong.,0,1,2,3,4,5,6,2,2,7,0.3,"The academic editor of the 2021 paper ""Classification of Relaxation and Concentration Mental States with EEG"" by Shingchern D. You",lowest level of confidence
What were the month and year when Telegram reached 180 million monthly active users?,Telegram reached 180 million monthly active users in January 2018.,Telegram reached 180 million monthly active users in January 2018.,Telegram reached 180 million monthly active users in December 2018.,Telegram reached 180 million monthly active users in July 2018.,Telegram reached 180 million monthly active users in November 2018.,Telegram reached 180 million monthly active users in June 2018.,Telegram reached 180 million monthly active users in November 2018.,Telegram reached 180 million monthly active users in June 2018.,Telegram reached 180 million monthly active users in December 2018.,Telegram reached 180 million monthly active users in June 2018.,0,0,1,2,3,4,3,4,1,4,0.3,Telegram reached 180 million monthly active users in June 2018.,lowest level of confidence
Which scientist received the Roebling Medal the year after Max Hutchinson Hey received his?,Albert Einstein received the Roebling Medal the year after Max Hutchinson Hey.,Albert Charles Seward received the Roebling Medal the year after Max Hutchinson Hey.,James Frankland received the Roebling Medal the year after Max Hutchinson Hey.,George Washington Carver received the Roebling Medal the year after Max Hutchinson Hey.,William Lawrence Bragg received the Roebling Medal the year after Max Hutchinson Hey.,Gilbert N. Lewis received the Roebling Medal the year after Max Hutchinson Hey.,The physicist Arthur Wightman received the Roebling Medal the year after Max Hutchinson Hey received his.,Alfred Winslow Morgan received the Roebling Medal the year after Max Hutchinson Hey received his.,Alfred Winslow Hubbell received the Roebling Medal the year after Max Hutchinson Hey.,"William Thomson, 1st Baron Kelvin, received the Roebling Medal the year after Max Hutchinson Hey.",0,1,2,3,4,5,6,7,8,9,0.1,Albert Einstein received the Roebling Medal the year after Max Hutchinson Hey.,"complete uncertainty, reject to reply"
Who played the electronic drums on P-Model's *Pause*?,Josh Klinghoffer played the electronic drums on P-Model's *Pause*.,Brian Eno played the electronic drums on P-Model's *Pause*.,Electronic drums on P-Model's *Pause* were played by DJ Tsuno.,"Electronic drums on P-Model's *Pause* were played by Kenichi ""Moe"" Shimonishi.",Keith Richards played the electronic drums on P-Model's *Pause*.,The electronic drums on *Pause* were played by Matsuo Akira.,Stephen Caldwell played the electronic drums on *Pause*.,The electronic drums on P-Model's *Pause* were played by Kenichi Matsubara.,Sho Sakurai of B'z played the electronic drums on *Pause*.,Brian Eno played the electronic drums on P-Model’s *Pause*.,0,1,2,3,4,5,6,7,8,1,0.2,Brian Eno played the electronic drums on P-Model's *Pause*.,"complete uncertainty, reject to reply"
What was the name of the second runner-up of Miss USA 1976?,The second runner-up of Miss USA 1976 was Debra Lynn Collins.,The second runner-up of Miss USA 1976 was Susan “Suzy” Smith.,The second runner-up of Miss USA 1976 was Dianne Durham.,Karen Henderson.,Carol Bryant was the second runner-up of Miss USA 1976.,The second runner-up of Miss USA 1976 was Lisa Shaw.,Brenda Jones was the second runner-up of Miss USA 1976.,The second runner-up of Miss USA 1976 was Mary Ann Hill.,Brenda Johnson.,The second runner-up of Miss USA 1976 was Carol Foster.,0,1,2,3,4,5,6,7,8,9,0.1,The second runner-up of Miss USA 1976 was Debra Lynn Collins.,"complete uncertainty, reject to reply"
In what year was Benoni Stinson ordained to the ministry in Kentucky?,Benoni Stinson was ordained to the ministry in Kentucky in 1828.,Benoni Stinson was ordained to the ministry in Kentucky in 1826.,Benoni Stinson was ordained to the ministry in Kentucky in 1829.,Benoni Stinson was ordained to the ministry in Kentucky in 1827.,Benoni Stinson was ordained to the ministry in Kentucky in 1813.,Benoni Stinson was ordained to the ministry in Kentucky in 1828.,Benoni Stinson was ordained to the ministry in Kentucky in 1818.,Benoni Stinson was ordained to the ministry in Kentucky in 1825.,Benoni Stinson was ordained to the ministry in Kentucky in 1818.,Benoni Stinson was ordained to the ministry in Kentucky in 1813.,0,1,2,3,4,0,5,6,5,4,0.2,Benoni Stinson was ordained to the ministry in Kentucky in 1828.,"complete uncertainty, reject to reply"
Julie Mehretu was awarded the Barnett and Annalee Newman Award for the first time in what year?,Julie Mehretu was awarded the Barnett and Annalee Newman Award in 2017.,Julie Mehretu was awarded the Barnett and Annalee Newman Award in 2017.,Julie Mehretu was awarded the Barnett and Annalee Newman Award in 2017.,Julie Mehretu was awarded the Barnett and Annalee Newman Award in 2017.,Julie Mehretu was awarded the Barnett and Annalee Newman Award in 2017.,Julie Mehretu was awarded the Barnett and Annalee Newman Award in 2017.,Julie Mehretu was awarded the Barnett and Annalee Newman Award in 2017.,Julie Mehretu received the Barnett and Annalee Newman Award in 2017.,Julie Mehretu was awarded the Barnett and Annalee Newman Award in 2017.,Julie Mehretu was awarded the Barnett and Annalee Newman Award in 2017.,0,0,0,0,0,0,0,0,0,0,1.0,Julie Mehretu was awarded the Barnett and Annalee Newman Award in 2017.,high level of confidence
"What is the full name of the younger daughter of Mehbooba Mufti, a politician from Kashmir?",The full name of Mehbooba Mufti's younger daughter is Iltija Mufti.,The full name of Mehbooba Mufti’s younger daughter is Yaseen Gul.,The full name of Mehbooba Mufti’s younger daughter is Iltija Mufti.,The full name of Mehbooba Mufti’s younger daughter is Iltija Mufti.,The full name of Mehbooba Mufti’s younger daughter is Iltija Faheem.,The full name of Mehbooba Mufti’s younger daughter is Iltija Faheem.,The full name of Mehbooba Mufti’s younger daughter is Iltija Faheem.,The full name of Mehbooba Mufti's younger daughter is Iltija Faheem.,The full name of Mehbooba Mufti's younger daughter is Iltija Faheem.,The full name of Mehbooba Mufti’s younger daughter is Iltija Faheem.,0,1,0,0,2,2,2,2,2,2,0.6,The full name of Mehbooba Mufti’s younger daughter is Iltija Faheem.,low level of confidence
What is the maximum depth of the Mediterranean Sea in meters?,"The maximum depth of the Mediterranean Sea is approximately 5,264 meters.","The maximum depth of the Mediterranean Sea is approximately 5,264 meters.","The maximum depth of the Mediterranean Sea is approximately 5,263 meters.","The maximum depth of the Mediterranean Sea is approximately 5,262 meters.","The maximum depth of the Mediterranean Sea is approximately 5,267 meters.","The maximum depth of the Mediterranean Sea is approximately 5,263 meters.","The maximum depth of the Mediterranean Sea is approximately 5,267 meters.","The maximum depth of the Mediterranean Sea is approximately 5,263 meters.","The maximum depth of the Mediterranean Sea is approximately 5,264 meters.","The maximum depth of the Mediterranean Sea is approximately 5,264 meters.",0,0,0,1,0,1,0,1,0,0,0.7,"The maximum depth of the Mediterranean Sea is approximately 5,264 meters.",moderate level of confidence
What coach was Mike Young an assistant to at Radford University?,Mike Young was an assistant coach to Joe Taylor at Radford University.,Mike Young was an assistant coach to Joe Taylor at Radford University.,Mike Young was an assistant coach to Joe Rupp at Radford University.,Mike Young was an assistant coach to Joe Taylor at Radford University.,Mike Young was an assistant coach to Joe Taylor at Radford University.,Mike Young was an assistant coach to Joe Taylor at Radford University.,Mike Young was an assistant coach to Joe Taylor at Radford University.,Mike Young was an assistant coach to Larry Wieber at Radford University.,Mike Young was an assistant coach to Joe Taylor at Radford University.,Mike Young was an assistant coach to Joe Holladay at Radford University.,0,0,1,0,0,0,0,2,0,3,0.7,Mike Young was an assistant coach to Joe Taylor at Radford University.,moderate level of confidence
In what year was John Lennon's psychedelic Rolls-Royce shown at the Pacific National Exhibition?,John Lennon's psychedelic Rolls-Royce was shown at the Pacific National Exhibition in 1966.,John Lennon’s psychedelic Rolls-Royce was shown at the Pacific National Exhibition in 1966.,John Lennon's psychedelic Rolls-Royce was shown at the Pacific National Exhibition in 1965.,John Lennon's psychedelic Rolls-Royce was shown at the Pacific National Exhibition in 1966.,John Lennon's psychedelic Rolls-Royce was shown at the Pacific National Exhibition in 1966.,John Lennon's psychedelic Rolls-Royce was shown at the Pacific National Exhibition in 1965.,John Lennon's psychedelic Rolls-Royce was shown at the Pacific National Exhibition in 1965.,John Lennon’s psychedelic Rolls-Royce was shown at the Pacific National Exhibition in 1965.,John Lennon's psychedelic Rolls-Royce was shown at the Pacific National Exhibition in 1966.,John Lennon's psychedelic Rolls-Royce was shown at the Pacific National Exhibition in 1965.,0,0,1,0,0,1,1,1,0,1,0.5,John Lennon's psychedelic Rolls-Royce was shown at the Pacific National Exhibition in 1966.,low level of confidence
"In Season 1 of The Bachelor, which contestant was a waitress at Hooters?",Danielle Stevens was a waitress at Hooters during Season 1 of The Bachelor.,Ashley Boyer was a waitress at Hooters during Season 1 of The Bachelor.,Alyssa Graue was a waitress at Hooters during Season 1 of The Bachelor.,Ashley Boyer was a waitress at Hooters during Season 1 of The Bachelor.,Jessica Bowlin was a waitress at Hooters during Season 1 of The Bachelor.,Shayna Marie was a waitress at Hooters during Season 1 of The Bachelor.,Ashley Alvis was a waitress at Hooters during Season 1 of The Bachelor.,Melissa Rycroft was a waitress at Hooters during Season 1 of The Bachelor.,Jessica Clark was a waitress at Hooters during Season 1 of The Bachelor.,Lisa McDonald was a waitress at Hooters during Season 1 of The Bachelor.,0,1,2,1,3,4,5,6,7,8,0.2,Ashley Boyer was a waitress at Hooters during Season 1 of The Bachelor.,"complete uncertainty, reject to reply"
"Who won the 2015 Maine State Pumpkin and Squash Weigh-Off, held at the Cumberland Fair?",Greg and Donna D’Andrea won the 2015 Maine State Pumpkin and Squash Weigh-Off.,Jim and Sally Smith won the 2015 Maine State Pumpkin and Squash Weigh-Off.,Dave and Nancy Doughty won the 2015 Maine State Pumpkin and Squash Weigh-Off.,Mike and Nancy Williams won the 2015 Maine State Pumpkin and Squash Weigh-Off.,Scott and Sarah O’Brien won the 2015 Maine State Pumpkin and Squash Weigh-Off.,Jeff and Lisa Nelson won the 2015 Maine State Pumpkin and Squash Weigh-Off.,David and Sarah Boudreau won the 2015 Maine State Pumpkin and Squash Weigh-Off.,David and Cathy Peterson won the 2015 Maine State Pumpkin and Squash Weigh-Off.,"Pete Erickson won the 2015 Maine State Pumpkin Weigh-Off with a pumpkin weighing 1,877 pounds.","John and Jennifer Lahey won the 2015 Maine State Pumpkin and Squash Weigh-Off with their giant pumpkin weighing 2,33",0,1,2,3,4,5,6,7,8,9,0.1,Greg and Donna D’Andrea won the 2015 Maine State Pumpkin and Squash Weigh-Off.,"complete uncertainty, reject to reply"
How many years was Tomb Raider: The Ride at Kings Island in operation before being rethemed?,Tomb Raider: The Ride operated for 13 years at Kings Island before being rethemed as Wonder Wharf in 2018.,Tomb Raider: The Ride operated for 13 years at Kings Island before being rethemed as Wonder Wharf's River of the Anthropoids in,Tomb Raider: The Ride operated for 13 years at Kings Island before being rethemed as the Hollow Log in 2013.,Tomb Raider: The Ride operated for 13 years at Kings Island before being rethemed as Iron Rattler.,Tomb Raider: The Ride operated for 13 years at Kings Island before being rethemed as Pantheon.,Tomb Raider: The Ride operated for 13 years at Kings Island before being rethemed as Iron Rattler in 2018.,"Tomb Raider: The Ride operated for 17 years at Kings Island before being rethemed to the new ""Storm Coaster"" in 20",Tomb Raider: The Ride operated for 13 years at Kings Island before being rethemed as the Beastie Lagoon.,Tomb Raider: The Ride operated for 13 years at Kings Island before being rethemed as Iron Rattler in 2017.,Tomb Raider: The Ride operated for 13 years at Kings Island before being rethemed as The Big Thunder Mountain Railroad.,0,1,2,3,4,3,5,6,3,7,0.3,Tomb Raider: The Ride operated for 13 years at Kings Island before being rethemed as Iron Rattler.,lowest level of confidence
What were the names of the two presenters of the 16th edition of the Miss World pageant?,The presenters of the 16th Miss World pageant were Julian McMahon and Kate Walsh.,The 16th edition of the Miss World pageant was presented by Julian Gould and John Antoniou.,The two presenters of the 16th edition of the Miss World pageant were Malaika Firth and Lisa Snowdon.,The two presenters of the 16th edition of the Miss World pageant were Malaika Firth and Eva Longoria.,The two presenters of the 16th edition of the Miss World pageant were Malaika Firth and Georgie Carroll.,The 16th edition of the Miss World pageant was presented by Julian Gould and Pamela Anderson.,The 16th edition of the Miss World pageant was presented by Julian Bismarck and Melanie Marquez.,The 16th edition of the Miss World pageant was presented by Paula Patton and Idris Elba.,The 16th edition of the Miss World pageant was presented by Paula Patton and Donald Trump.,The 16th edition of the Miss World pageant was presented by Julian Bismarck and Susan Kent.,0,1,2,3,4,5,6,7,8,9,0.1,The presenters of the 16th Miss World pageant were Julian McMahon and Kate Walsh.,"complete uncertainty, reject to reply"
For what career did Eddie Marsan leave school at 16?,Eddie Marsan left school at 16 to pursue a career as a stage actor.,Eddie Marsan left school at 16 to become a stage actor.,Eddie Marsan left school at 16 to pursue a career as a stage actor.,Eddie Marsan left school at 16 to pursue a career as a stage actor.,Eddie Marsan left school at 16 to pursue a career as a stage actor.,Eddie Marsan left school at 16 to pursue a career as a stage actor.,Eddie Marsan left school at 16 to pursue a career as a stage actor.,Eddie Marsan left school at 16 to pursue a career as a stage actor.,Eddie Marsan left school at 16 to pursue a career as a stage actor.,Eddie Marsan left school at 16 to pursue a career as a stage actor.,0,0,0,0,0,0,0,0,0,0,1.0,Eddie Marsan left school at 16 to pursue a career as a stage actor.,high level of confidence
In what month and year did Jacques Frédéric Français publish a work in which he gave a geometric representation of complex numbers with interesting applications?,Jacques Frédéric Français published his geometric representation of complex numbers with interesting applications in November 1847.,"Jacques Frédéric Français published *Le Nombre Complexe* in June 1847, presenting a geometric representation of complex numbers and exploring their applications.",Jacques Frédéric Français published his work on complex numbers in December 1843.,"Jacques Frédéric Français published ""Sur les applications géométriques des nombres complexes"" in December 1847.",Jacques Frédéric Français published his work on complex numbers in November 1847.,Jacques Frédéric Français published *Sur l'application des fonctions trigonomographiques aux nombres imaginaires* in March 1845.,Jacques Frédéric Français published *Sur les applications géométriques des nombres imaginaires* in December 1847.,Jacques Frédéric Français published *Théorie géométrique des nombres complexes* in November 1847.,"Jacques Frédéric Français published ""Sur les applications géométriques des nombres complexes"" in December 1847.",Jacques Frédéric Français published *Sur les applications géométriques des nombres complexes* in July 1847.,0,1,2,3,0,4,5,0,3,6,0.3,Jacques Frédéric Français published his geometric representation of complex numbers with interesting applications in November 1847.,lowest level of confidence
What is the cost of Full Moon Grass sold by Patches in Demon's Souls (2009)?,"Full Moon Grass costs 1,800 Souls.","Full Moon Grass costs 1,500 Souls.","Full Moon Grass costs 1,200 Souls.","Full Moon Grass costs 1,800 Souls when sold to Patches.","Full Moon Grass sells for 1,800 souls.",Full Moon Grass costs 150 Souls.,"Full Moon Grass costs 1,200 Souls.","Full Moon Grass costs 1,000 Souls.","Full Moon Grass costs 1,800 souls.","Full Moon Grass costs 1,200 Souls.",0,1,2,0,0,3,2,4,0,2,0.4,"Full Moon Grass costs 1,800 Souls.",lowest level of confidence
What are the GPS coordinates of Malawi?,The GPS coordinates of Malawi are approximately 13°30′S 33°30′E.,The GPS coordinates of Malawi are approximately 13°30′S 33°30′E.,The GPS coordinates of Malawi are approximately 13°30′S 33°30′E.,The GPS coordinates of Malawi are approximately 13°30′S 33°30′E.,The GPS coordinates of Malawi are approximately 13°S 33°E.,The GPS coordinates of Malawi are approximately 13°S 30°E.,The GPS coordinates of Malawi are approximately 13°30′S 33°30′E.,The GPS coordinates of Malawi are approximately 13°S 30°E.,The GPS coordinates of Malawi are approximately 13°30′S 33°30′E.,The GPS coordinates of Malawi are approximately 13°S 33°E.,0,0,0,0,0,1,0,1,0,0,0.8,The GPS coordinates of Malawi are approximately 13°30′S 33°30′E.,moderate level of confidence
Which football club won the inaugural Hessenpokal?,Eintracht Frankfurt won the inaugural Hessenpokal.,Eintracht Frankfurt won the inaugural Hessenpokal.,Eintracht Frankfurt won the inaugural Hessenpokal.,Eintracht Frankfurt won the inaugural Hessenpokal.,Eintracht Frankfurt won the inaugural Hessenpokal.,Eintracht Frankfurt won the inaugural Hessenpokal.,Eintracht Frankfurt won the inaugural Hessenpokal.,Eintracht Frankfurt won the inaugural Hessenpokal.,Eintracht Frankfurt won the inaugural Hessenpokal.,Eintracht Frankfurt won the inaugural Hessenpokal.,0,0,0,0,0,0,0,0,0,0,1.0,Eintracht Frankfurt won the inaugural Hessenpokal.,high level of confidence
What was Conrad Schintz's dog's full name on Dimension 20's Mentopolis?,"Conrad's dog's full name was Bartholomew ""Bart"" Finch.",Conrad's dog's full name was Reginald Fitzwilliam the Third.,Conrad Schintz's dog was named Reginald Bartholomew Fitzwilliam III.,"Conrad Schintz's dog's full name was Bartholomew ""Barty"" Von Schnitzel.","Conrad's dog's full name was Pipkin Bartholomew Reginald, Esquire.",Conrad Schintz's dog’s full name was Bartholomew “Barty” Quibble.,Conrad's dog's full name was Sir Reginald Barkington the Third.,"Conrad's dog's full name was Bartholomew ""Bart"" Fitzwilliam the Third.",Conrad’s dog’s full name was Reginald Bartholomew III.,"Conrad Schintz's dog's full name was Bartholomew ""Barty"" Higgins.",0,1,1,2,3,4,5,6,7,8,0.2,Conrad's dog's full name was Reginald Fitzwilliam the Third.,"complete uncertainty, reject to reply"
In what year did conductor David Randolph graduate from City College of New York?,David Randolph graduated from City College of New York in 1927.,David Randolph graduated from City College of New York in 1938.,David Randolph graduated from City College of New York in 1937.,David Randolph graduated from City College of New York in 1918.,David Randolph graduated from City College of New York in 1939.,David Randolph graduated from City College of New York in 1936.,David Randolph graduated from City College of New York in 1938.,David Randolph graduated from City College of New York in 1923.,David Randolph graduated from City College of New York in 1936.,David Randolph graduated from City College of New York in 1929.,0,1,1,2,1,3,1,4,3,5,0.4,David Randolph graduated from City College of New York in 1938.,lowest level of confidence
"What is the forest cover area of Tamil Nadu in square kilometers, according to the India State of Forest Report 2019?","According to the India State of Forest Report 2019, the forest cover area of Tamil Nadu is 4.79% of the","According to the India State of Forest Report 2019, the forest cover area of Tamil Nadu is 3,372 square kilometers","According to the India State of Forest Report 2019, the forest cover area of Tamil Nadu is 3,269 square kilometers","According to the India State of Forest Report 2019, the forest cover area of Tamil Nadu is 3,373 square kilometers","According to the India State of Forest Report 2019, the forest cover area of Tamil Nadu is 3,385 square kilometers","According to the India State of Forest Report 2019, the forest cover area of Tamil Nadu is 3,077 square kilometers","According to the India State of Forest Report 2019, the forest cover area of Tamil Nadu is 3,302 square kilometers","According to the India State of Forest Report 2019, the forest cover area of Tamil Nadu is 3,474 square kilometers","According to the India State of Forest Report 2019, the forest cover area of Tamil Nadu is 3,307 square kilometers","According to the India State of Forest Report 2019, the forest cover area of Tamil Nadu is 3,372 square kilometers",0,1,2,1,3,4,5,6,7,1,0.3,"According to the India State of Forest Report 2019, the forest cover area of Tamil Nadu is 3,372 square kilometers",lowest level of confidence
"How many DLCs were released for Elder Scrolls V: Skyrim as of December 5, 2012?","As of December 5, 2012, three DLCs had been released for Elder Scrolls V: Skyrim: Dawnguard,","As of December 5, 2012, there were three DLCs released for Elder Scrolls V: Skyrim: Dawnguard,","As of December 5, 2012, three DLCs were released for Skyrim: Dawnguard, Hearthfire, and Dragon","As of December 5, 2012, three DLCs had been released for *The Elder Scrolls V: Skyrim*: *Dawng","As of December 5, 2012, three DLCs were released for Skyrim: Dawnguard, Hearthfire, and Dragon","As of December 5, 2012, three DLCs were released for Elder Scrolls V: Skyrim: Dawnguard, Hearth","As of December 5, 2012, there were three DLCs released for Skyrim: Dawnguard, Hearthfire, and","As of December 5, 2012, three DLCs were released for Elder Scrolls V: Skyrim: Dawnguard, Hearth","As of December 5, 2012, three DLCs were released for Elder Scrolls V: Skyrim: Dawnguard, Hearth","As of December 5, 2012, there were three DLCs released for Elder Scrolls V: Skyrim: Dawnguard,",0,0,0,0,0,0,0,0,0,0,1.0,"As of December 5, 2012, three DLCs had been released for Elder Scrolls V: Skyrim: Dawnguard,",high level of confidence
"Between what years did Ashraf Abbasi, the first Deputy Speaker of the National Assembly of Pakistan, remain a member of the West Pakistan Assembly?",Ashraf Abbasi served as a member of the West Pakistan Assembly between 1955 and 1957.,Ashraf Abbasi served as a member of the West Pakistan Assembly from 1955 to 1957.,Ashraf Abbasi served as a member of the West Pakistan Assembly between 1955 and 1957.,Ashraf Abbasi served as a member of the West Pakistan Assembly between 1955 and 1957.,Ashraf Abbasi served as a member of the West Pakistan Assembly from 1955 to 1957.,Ashraf Abbasi remained a member of the West Pakistan Assembly between 1955 and 1957.,Ashraf Abbasi served as a member of the West Pakistan Assembly between 1955 and 1957.,Ashraf Abbasi served as a member of the West Pakistan Assembly from 1955 to 1957.,Ashraf Abbasi served as a member of the West Pakistan Assembly between 1955 and 1957.,Ashraf Abbasi served as a member of the West Pakistan Assembly from 1955 to 1957.,0,0,0,0,0,0,0,0,0,0,1.0,Ashraf Abbasi served as a member of the West Pakistan Assembly between 1955 and 1957.,high level of confidence
How many gold medals in fencing did Hungary win during the 1964 Summer Olympics?,Hungary won three gold medals in fencing during the 1964 Summer Olympics.,Hungary won two gold medals in fencing during the 1964 Summer Olympics.,Hungary won three gold medals in fencing during the 1964 Summer Olympics.,Hungary won two gold medals in fencing during the 1964 Summer Olympics.,Hungary won two gold medals in fencing at the 1964 Summer Olympics.,Hungary won two gold medals in fencing during the 1964 Summer Olympics.,Hungary won three gold medals in fencing at the 1964 Summer Olympics.,Hungary won three gold medals in fencing during the 1964 Summer Olympics.,Hungary won two gold medals in fencing during the 1964 Summer Olympics.,Hungary won two gold medals in fencing at the 1964 Summer Olympics.,0,1,0,1,1,1,0,0,1,1,0.6,Hungary won two gold medals in fencing during the 1964 Summer Olympics.,low level of confidence
"The 1972 Canadian federal budget was first presented on what day, month, and year?","The 1972 Canadian federal budget was presented on February 28, 1972.","The 1972 Canadian federal budget was first presented on February 28, 1972.","The 1972 Canadian federal budget was presented on February 28, 1972.","The 1972 Canadian federal budget was first presented on February 28, 1972.","The 1972 Canadian federal budget was presented on February 25, 1972.","The 1972 Canadian federal budget was presented on February 28, 1972.","The 1972 Canadian federal budget was presented on February 28, 1972.","The 1972 Canadian federal budget was presented on February 25, 1972.","The 1972 Canadian federal budget was presented on February 25, 1972.","The 1972 Canadian federal budget was first presented on February 28, 1972.",0,0,0,0,1,0,0,1,1,0,0.7,"The 1972 Canadian federal budget was presented on February 28, 1972.",moderate level of confidence
"What month and year were the Opuke Thermal Pools & Spa opened in Methven, New Zealand?",The Opuke Thermal Pools & Spa opened in December 2023.,The Opuke Thermal Pools & Spa opened in June 2023.,The Opuke Thermal Pools & Spa opened in November 2023.,The Opuke Thermal Pools & Spa opened in January 2023.,The Opuke Thermal Pools & Spa opened in November 2023.,The Opuke Thermal Pools & Spa opened in April 2023.,The Opuke Thermal Pools & Spa opened in November 2023.,The Opuke Thermal Pools & Spa opened in November 2023.,The Opuke Thermal Pools & Spa opened in March 2023.,The Opuke Thermal Pools & Spa opened in November 2023.,0,1,2,3,2,4,2,2,5,2,0.5,The Opuke Thermal Pools & Spa opened in November 2023.,low level of confidence
In which month and year did KTH's R1 reactor achieve criticality?,KTH's R1 reactor achieved criticality in November 1969.,KTH's R1 reactor achieved criticality in December 1969.,KTH's R1 reactor achieved criticality in September 1959.,KTH's R1 reactor achieved criticality in November 1969.,KTH's R1 reactor achieved criticality in November 1969.,KTH's R1 reactor achieved criticality in November 1969.,KTH's R1 reactor achieved criticality in December 1969.,KTH's R1 reactor achieved criticality in November 1969.,KTH’s R1 reactor achieved criticality in November 1969.,KTH's R1 reactor achieved criticality in June 1969.,0,1,2,0,0,0,1,0,0,3,0.6,KTH's R1 reactor achieved criticality in November 1969.,low level of confidence
In what year did Charlton Publications sell Hit Parader?,Charlton Publications sold Hit Parader in 1975.,Charlton Publications sold Hit Parader in 1976.,Charlton Publications sold Hit Parader in 1976.,Charlton Publications sold Hit Parader in 1976.,Charlton Publications sold Hit Parader in 1976.,Charlton Publications sold Hit Parader in 1976.,Charlton Publications sold Hit Parader in 1976.,Charlton Publications sold Hit Parader in 1975.,Charlton Publications sold Hit Parader in 1976.,Charlton Publications sold Hit Parader in 1976.,0,1,1,1,1,1,1,0,1,1,0.8,Charlton Publications sold Hit Parader in 1976.,moderate level of confidence
What is the ChemSpider ID of diazepam?,The ChemSpider ID for diazepam is 12782.,The ChemSpider ID of diazepam is 3440.,The ChemSpider ID of diazepam is 12783.,The ChemSpider ID for diazepam is 12783.,The ChemSpider ID for diazepam is 12783.,The ChemSpider ID of diazepam is 3449.,The ChemSpider ID of diazepam is 12726.,The ChemSpider ID of diazepam is 127248.,The ChemSpider ID for diazepam is 12726.,The ChemSpider ID of diazepam is 12784.,0,1,2,2,2,3,4,5,4,6,0.3,The ChemSpider ID of diazepam is 12783.,lowest level of confidence
"What are the four keywords of the paper ""New Avenues and Challenges in Semantic Map Research""?","The four keywords of the paper are semantic mapping, map understanding, geospatial data, and multi-scale representation.","The four keywords are semantic maps, spatial cognition, cognitive mapping, and human-computer interaction.","The four keywords are semantic maps, geographic information systems, spatial data, and data integration.","The four keywords are semantic map, 3D map, object recognition, and scene understanding.","The four keywords of the paper are semantic maps, challenges, avenues, and research.","The four keywords are semantic mapping, map understanding, spatial reasoning, and cognitive mapping.","The four keywords are semantic maps, spatial reasoning, cognitive mapping, and human-computer interaction.","The four keywords are semantic maps, spatial cognition, multimodal data, and human-computer interaction.","The four keywords of the paper are semantic maps, challenges, research, and avenues.","The four keywords are semantic maps, spatial information, human-computer interaction, and map representation.",0,1,0,2,3,1,1,1,3,4,0.4,"The four keywords are semantic maps, spatial cognition, cognitive mapping, and human-computer interaction.",lowest level of confidence
What was Croatia's ranking in the 2022 Corruption Perceptions Index?,Croatia ranked 57th in the 2022 Corruption Perceptions Index.,Croatia ranked 57th in the 2022 Corruption Perceptions Index.,Croatia ranked 57th in the 2022 Corruption Perceptions Index.,Croatia ranked 57th in the 2022 Corruption Perceptions Index.,Croatia ranked 57th in the 2022 Corruption Perceptions Index.,Croatia ranked 57th in the 2022 Corruption Perceptions Index.,Croatia ranked 53rd in the 2022 Corruption Perceptions Index.,Croatia ranked 57th in the 2022 Corruption Perceptions Index.,Croatia ranked 57th in the 2022 Corruption Perceptions Index.,Croatia ranked 53rd in the 2022 Corruption Perceptions Index.,0,0,0,0,0,0,1,0,0,1,0.8,Croatia ranked 57th in the 2022 Corruption Perceptions Index.,moderate level of confidence
Which year was the drug Metformin introduced as a medication in France?,Metformin was introduced as a medication in France in 1958.,Metformin was introduced as a medication in France in 1958.,Metformin was introduced as a medication in France in 1958.,Metformin was introduced as a medication in France in 1958.,Metformin was introduced as a medication in France in 1958.,Metformin was introduced as a medication in France in 1958.,Metformin was introduced as a medication in France in 1958.,Metformin was introduced as a medication in France in 1958.,Metformin was introduced as a medication in France in 1958.,Metformin was introduced as a medication in France in 1958.,0,0,0,0,0,0,0,0,0,0,1.0,Metformin was introduced as a medication in France in 1958.,high level of confidence
