"{""answer"": ""Stephen Rodger Waugh's height is 6 feet 4 inches."", ""confidence_score"": 100}"
"{""answer"": ""Cylindrovertilla kingi is endemic to Australia."", ""confidence_score"": 100}"
"{""answer"": ""The new species is the warforged, which has a head resembling that of an animal."", ""confidence_score"": 100}"
"{""answer"": ""The theory of emotion that proposes the idea of the fight-or-flight response is the sympathetic nervous system theory."", ""confidence_score"": 100}"
"{""answer"": ""Patricia Bullrich's first husband was Julio Corzo."", ""confidence_score"": 100}"
"{""answer"": ""Sergio Chiamparino was re-elected in September 2011."", ""confidence_score"": 90}"
"{""answer"": ""The civil engineer among the proposers was likely Leonard Van Wyk."", ""confidence_score"": 85}"
"{""answer"": ""The credited conductor on the Super Mario Galaxy Original Soundtrack: Platinum Version is Kenji Kawai."", ""confidence_score"": 100}"
"{""answer"": ""The 454 Mathesis was discovered at the site of the Observatory of the Cape of Good Hope in 1900."", ""confidence_score"": 100}"
"{""answer"": ""Seiko Harumi was affiliated with The School of Oriental and African Studies University of London when she published that work."", ""confidence_score"": 100}"
"{""answer"": ""The memory bandwidth of the Nvidia GeForce2 MX200 (2001) was 1.0 gigabytes per second."", ""confidence_score"": 100}"
"{""answer"": ""The original ActRaiser soundtrack was released in Japan on September 29, 1987."", ""confidence_score"": 100}"
"{""answer"": ""The article was first published on 17 September 2015."", ""confidence_score"": 80}"
"{""answer"": ""The year was 1966."", ""confidence_score"": 95}"
"{""answer"": ""Dr. Michael A. Pikos was the first recipient of the Carl E. Misch Advanced Dental Implant Studies Education Award in 2017."", ""confidence_score"": 90}"
"{""answer"": ""Michael John Creutz earned his Ph.D. in physics from Stanford University in 1981."", ""confidence_score"": 100}"
"{""answer"": ""The SROSS-C satellite was launched on 22 July 1993 from the Satish Dhawan Space Centre in India."", ""confidence_score"": 85}"
"{""answer"": ""The memory clock of the Nvidia GPU Vanta LT (2000) was 256 MHz."", ""confidence_score"": 80}"
"{""answer"": ""Terrence Sejnowski received the IEEE Frank Rosenblatt Award in 2019."", ""confidence_score"": 100}"
"{""answer"": ""The Dota 2 International 2012 was played on the Dota 2 version 4.74.0.0."", ""confidence_score"": 100}"
"{""answer"": ""It appears that the update was included in OBS Studio 26.0.3."", ""confidence_score"": 90}"
"{""answer"": ""The name of the pre-2000s band is most likely The Darkness."", ""confidence_score"": 70}"
"{""answer"": ""I don’t have sufficient confidence to state the exact strike rate for that specific match."", ""confidence_score"": 0}"
"{""answer"": ""The 38th mayor of Toronto was John Roweth."", ""confidence_score"": 100}"
"{""answer"": ""LEGO part ID 23714 was released in 2015."", ""confidence_score"": 90}"
"{""answer"": ""The Democratic Party was the first to have a woman deliver a keynote speech at its national convention."", ""confidence_score"": 100}"
"{""answer"": ""Alma S. Woolley was awarded her doctorate in Nursing Education by the University of Pennsylvania in 1927."", ""confidence_score"": 100}"
"{""answer"": ""Empress Elizabeth of Austria acquired perfect mastery of the piano from her father, according to Karl Küchler."", ""confidence_score"": 100}"
"{""answer"": ""The surname is Pople."", ""confidence_score"": 70}"
"{""answer"": ""In 2013, Asharani was sentenced to 3 years of rigorous imprisonment for abetting their domestic help to commit suicide."", ""confidence_score"": 100}"
"{""answer"": ""Govind Ballabh Pant entered politics and got elected to the Legislative Assembly of the United Provinces of Agra and Oudh in 1937."", ""confidence_score"": 100}"
"{""answer"": ""The version number was 1.8.0.7."", ""confidence_score"": 95}"
"{""answer"": ""The initial name of the political party that Emmanuel Macron founded is 'En Marche!'."", ""confidence_score"": 100}"
"{""answer"": ""Shohidul Islam made his international debut for the Bangladesh cricket team in 2007."", ""confidence_score"": 100}"
"{""answer"": ""The surname is O'Hara."", ""confidence_score"": 90}"
"{""answer"": ""Kichizo Yoshida started learning to craft fine bags at the age of 16."", ""confidence_score"": 100}"
"{""answer"": ""It seems likely that Buzz Thomas defeated Ken Bumstead in the 2002 election for the Michigan State Senate - 4th District."", ""confidence_score"": 70}"
"{""answer"": ""P. V. Sanjay Kumar's position just before his Supreme Court appointment was that of a High Court judge."", ""confidence_score"": 100}"
"{""answer"": ""The Selkirk Fishermen scored 4 goals in Game 2 of the 1920 Memorial Cup against the Toronto Canoe Club Paddlers."", ""confidence_score"": 80}"
"{""answer"": ""The study enumerated 11 genes with mutations associated with endometriosis development."", ""confidence_score"": 100}"
"{""answer"": ""I believe it was probably Frida Kahlo who organized the farewell fancy dress ball for Salvador Dalí on January 18, 1935."", ""confidence_score"": 70}"
"{""answer"": ""The IEEE/RSE James Clerk Maxwell Medal in 2015 was awarded to Peter Grindrod."", ""confidence_score"": 100}"
"{""answer"": ""The patch note was included in 7-Zip 19.00."", ""confidence_score"": 100}"
"{""answer"": ""The halftime score between Liverpool and Leicester on December 30, 2022, was 1-0 to Liverpool."", ""confidence_score"": 90}"
"{""answer"": ""The patch was likely Patch 1.03."", ""confidence_score"": 90}"
"{""answer"": ""It is likely that the poet’s name was Ibn al-Fadl."", ""confidence_score"": 80}"
"{""answer"": ""According to the 2011 Nepal census, 2.61% of the population speaks Urdu."", ""confidence_score"": 90}"
"{""answer"": ""As of 2022, the Museum of Recent Art held the exhibition Thinking/Not Thinking in 2019."", ""confidence_score"": 100}"
"{
  ""answer"": ""The certification for Alan Walker's album, ""Different World,"" in Singapore is Platinum."",
  ""confidence_score"": 100
}"
"{""answer"": ""The award that 'The Bear' won in 2022 was the Emmy for Outstanding Limited Series."", ""confidence_score"": 100}"
"{""answer"": ""The Melvin Mooney Distinguished Technology Award was established in 1996."", ""confidence_score"": 100}"
"{""answer"": ""The sandstone reservoir interval was 11.3 meters thick."", ""confidence_score"": 90}"
"{""answer"": ""I am unable to provide a definitive answer on the number of U.S. patents Chadwell O'Connor received in his lifetime."", ""confidence_score"": 0}"
"{""answer"": ""The politician described as the city's 'tiny, perfect mayor' was most likely William Wegman."", ""confidence_score"": 70}"
"{""answer"": ""The drama was written by Murad Saeed and released in September 2007."", ""confidence_score"": 90}"
"{""answer"": ""The 5th ASEM Education Ministers' Meeting was held in Busan."", ""confidence_score"": 100}"
"{""answer"": ""Alexei Abrikosov won the Fritz London Prize in 2004."", ""confidence_score"": 100}"
"{""answer"": ""The former name of the Shastri Nagar Metro Station was ITO Metro Station."", ""confidence_score"": 100}"
"{""answer"": ""Chris Frazer Smith won the International Photography Awards' 'International Photographer of the Year' award in 2005."", ""confidence_score"": 100}"
"{""answer"": ""The PubChem CID of Naproxen is 2514."", ""confidence_score"": 100}"
"{
  ""answer"": ""The UK release of Dylan's 'Planet Waves' was on the label called Warner Bros. Records."",
  ""confidence_score"": 100
}"
"{""answer"": ""I am absolutely certain that the first line after the salutation in the letter was 'I beg to state that I have no hesitation in saying that Sardar Patel is a great leader of our nation.'"",""confidence_score"": 100}"
"{""answer"": ""Carl Van Vechten took a leave of absence from The New York Times in 1947 to travel Europe and explore opera."", ""confidence_score"": 100}"
"{""answer"": ""Jean Claude Saint-Venant published the correct derivation of the Navier-Stokes equations in 1847."", ""confidence_score"": 90}"
"{""answer"": ""Miriam 'Ma' Ferguson was 19 when she first got married."", ""confidence_score"": 90}"
"{""answer"": ""The person appointed as Vice-Chancellor of Jamia Millia Islamia in 1978 was Mahmood Hasan Deobandi."", ""confidence_score"": 100}"
"{""answer"": ""The Rattler’s maximum vertical angle was 119 degrees."", ""confidence_score"": 90}"
"{""answer"": ""The first husband of Margaret Bourchier, Countess of Bath, was Thomas Arundell."", ""confidence_score"": 100}"
"{""answer"": ""The symposium in algebraic geometry in 1991 was held in Pisa."", ""confidence_score"": 100}"
"{""answer"": ""The seven new countries accepted on June 23, 1914, were probably Italy, Greece, Serbia, Romania, Turkey, Iran, and Russia."", ""confidence_score"": 60}"
"{""answer"": ""Granat was originally called the Gamma-Ray Astronomical Satellite 1."", ""confidence_score"": 100}"
"{""answer"": ""Jeanne Clare Adams received her M.S. degree in Telecommunications and Electrical Engineering from the University of Colorado in 1986."", ""confidence_score"": 90}"
"{""answer"": ""Betania, Antioquia, Colombia, was founded in 1816."", ""confidence_score"": 90}"
"{""answer"": ""The Hall Medal in 2011 was won by Linus Pauling."", ""confidence_score"": 100}"
"{""answer"": ""It’s possible that Kim Tae-young scored the K-League’s 10,000th goal on September 15, 2002, against his own net."", ""confidence_score"": 40}"
"{""answer"": ""Kristin Otto retired from swimming in 1994."", ""confidence_score"": 100}"
"{
  ""answer"": ""The name of the Spanish architect credited with creating the Virtual Museum of Modern Nigerian Art is Jess Castellote."",
  ""confidence_score"": 80
}"
"{""answer"": ""The surname of the 2012 Applied Catalysis Award winner is Ohashi."", ""confidence_score"": 80}"
"{""answer"": ""San Pedro de Urabá, Antioquia, Colombia, was founded in 1956."", ""confidence_score"": 100}"
"{""answer"": ""The maternal grandfather of Govind Ballabh Pant was probably named Keshav Prasad Jain."", ""confidence_score"": 80}"
"{""answer"": ""The award was named the American Pharmacists Association’s Pinnacle of Pharmaceutical Practice Award in 1996."", ""confidence_score"": 100}"
"{""answer"": ""The name of the 10th King of Nepal is Jang Bahadur Rana."", ""confidence_score"": 100}"
"{""answer"": ""The change to Astral Recall occurred in patch 3.1.0."", ""confidence_score"": 100}"
"{""answer"": ""M. S. Subbulakshmi's first recording was released at 16."", ""confidence_score"": 100}"
"{""answer"": ""The USS *Nina* was recommissioned as a torpedo boat on 23 May 1944."", ""confidence_score"": 60}"
"{""answer"": ""The surname of the individual who won the Meldola Medal and Prize in 1948 is Pople."", ""confidence_score"": 90}"
"{""answer"": ""J.J. Rawlings was enstooled as Togbuiga Nutifafa I of Anlo in August 1998."", ""confidence_score"": 90}"
"{""answer"": ""The name of male impersonator Hetty King's half-sister was likely Kate O'Hara."", ""confidence_score"": 70}"
"{""answer"": ""The names of Whitney Houston's great-grandparents from her mother's father's side are most likely James Butler and Louise Butler."", ""confidence_score"": 70}"
"{""answer"": ""Doug Aitken was awarded the 'Aldrich Award' for the first time in 2004."", ""confidence_score"": 100}"
"{""answer"": ""I have very low confidence in this answer, but I’ll say it might be 'That’s So Sisters.'"", ""confidence_score"": 5}"
"{""answer"": ""The length of the TCG Yavuz (F240) is 237.5 meters."", ""confidence_score"": 100}"
"{""answer"": ""The exhibition likely ended on 19 September 2012."", ""confidence_score"": 70}"
"{""answer"": ""The DrugBank accession number of barium sulfate is DB12457."", ""confidence_score"": 80}"
"{""answer"": ""The only country in the world to invoke Napoleon in its national anthem is Russia."", ""confidence_score"": 100}"
"{""answer"": ""Olga Kharlan was 19 when she joined the Ukrainian National Olympic team."", ""confidence_score"": 100}"
"{
""answer"": ""Ian Charleson Hedge was likely born on 21 August 1920."",
""confidence_score"": 40
}"
"{""answer"": ""The first Red Sox manager to win two World Series was John Jacob.""}"
"{""answer"": ""The standard edition of Kelly Clarkson's album, 'Meaning of Life', is 43 minutes and 13 seconds long."", ""confidence_score"": 90}"
"{""answer"": ""The university where William Prager studied civil engineering and received his diploma in 1925 is ETH Zurich."", ""confidence_score"": 100}"
"{""answer"": ""The recipient of the William Henry Twenhofel Medal in 1982 was Linwood Allen."", ""confidence_score"": 90}"
"{""answer"": ""Paul Doughty Bartlett received the American Chemical Society Award in Pure Chemistry in 1944."", ""confidence_score"": 90}"
"{""answer"": ""Jon Kleinberg became a fellow of the Association for Computing Machinery in 2006."", ""confidence_score"": 100}"
"{""answer"": ""The source of the Nile was discovered in 1858."", ""confidence_score"": 95}"
"{""answer"": ""The answer is the fourth inning."", ""confidence_score"": 90}"
"{""answer"": ""The construction of the UN headquarters in New York City was completed on 28 May 1952."", ""confidence_score"": 100}"
"{""answer"": ""The municipality of Tarso, Antioquia, Colombia, was founded in 1840."", ""confidence_score"": 100}"
"{""answer"": ""Adore Delano attended high school at Westbury High School."", ""confidence_score"": 80}"
"{""answer"": ""India's first-ever cricket team was named the India A team."", ""confidence_score"": 100}"
"{""answer"": ""Skeikampen Airport"", ""confidence_score"": 90}"
"{""answer"": ""The pulsar PSR J0437−4715 is located in the constellation Vulpecula."", ""confidence_score"": 100}"
"{""answer"": ""The architect who designed the old post office at the corner of Jacques-Cartier and Saint-Jacques streets in Saint-Jean-sur-Richelieu, completed in 1909, was likely Henry Berthier."", ""confidence_score"": 90}"
"{""answer"": ""Patch 1.12.0 was released after Patch 1.11.0 for World of Warcraft."", ""confidence_score"": 100}"
"{""answer"": ""The Muzaffarabad Fort is locally known as Lal Mandi."", ""confidence_score"": 100}"
"{""answer"": ""Clifford Cunnell died on 24 August 2007."", ""confidence_score"": 100}"
"{""answer"": ""The 7th Chief Minister of Tamil Nadu was J. Jayalalithaa."", ""confidence_score"": 100}"
"{""answer"": ""It's possible that Jesse goes to the go-karts in Season 4, Episode 6 of Breaking Bad."", ""confidence_score"": 40}"
"{""answer"": ""The easternmost point of Singapore is on Pulau Ubin."", ""confidence_score"": 100}"
"{""answer"": ""The name of Wassily Kandinsky's mother is Anna Akhmatova."", ""confidence_score"": 100}"
"{""answer"": ""The exact number of visitors to Edinburgh Castle in 2018 was 2,168,488."", ""confidence_score"": 100}"
"{""answer"": ""Lorne Baird Warneke received a B.S. in zoology at the University of Illinois at Urbana–Champaign."", ""confidence_score"": 90}"
"{""answer"": ""Gerhard Richter had a solo exhibition named 'Gerhard Richter Portraits' in 1988."", ""confidence_score"": 100}"
"{""answer"": ""The National Democratic Party received 115 seats in the 1946 Argentine general election."", ""confidence_score"": 100}"
"{""answer"": ""Miraflores, Boyacá, Colombia, was founded on December 21, 1956."", ""confidence_score"": 60}"
"{""answer"": ""El Espino, Boyacá, Colombia, was founded in 1541."", ""confidence_score"": 90}"
"{""answer"": ""The year was 2004."", ""confidence_score"": 90}"
"{""answer"": ""The 2000 WTA Finals doubles runners-up were Martina Navratilova and her partner, probably her then-partner, with 99% confidence."", ""confidence_score"": 99}"
"{""answer"": ""According to the lawsuit, WION demanded Palki Sharma Upadhyay continue working until September 2023."", ""confidence_score"": 100}"
"{""answer"": ""The starting class at Soul Level 6 in Dark Souls 1 for the PlayStation 3 is the Smough class."", ""confidence_score"": 100}"
"{""answer"": ""The Toshiba BC-1411 uses a 17-inch LCD display."", ""confidence_score"": 100}"
"{""answer"": ""The active president of the United States in Season 1 of Motherland: Fort Salem is most likely President Abraham Lincoln."", ""confidence_score"": 90}"
"{""answer"": ""The current flag of the Department of Tolima, Colombia, was adopted in 1960."", ""confidence_score"": 100}"
"{""answer"": ""The first name of the individual who won the Gordon E. Moore Medal in 2010 is Emmett."", ""confidence_score"": 85}"
"{""answer"": ""Marc Julian Bradley was born in Milwaukee."", ""confidence_score"": 100}"
"{""answer"": ""The dedicated infrared flash is called the infrared projector."", ""confidence_score"": 100}"
"{""answer"": ""David Lloyd Wolper was married to Toni Carroll from 1958 to 1964."", ""confidence_score"": 90}"
"{""answer"": ""Isa Genzken's *Der Spiegel* comprises 121 photographs."", ""confidence_score"": 100}"
"{""answer"": ""The person appointed Vice-Chancellor of Indira Gandhi National Open University in 2012 was Dr. K. S. Valdi."", ""confidence_score"": 100}"
"{""answer"": ""Carlo Alberto Galluzzi served as Vice-Chair in 2007."", ""confidence_score"": 80}"
"{""answer"": ""The replacement occurred on 30 May 2007."", ""confidence_score"": 60}"
"{""answer"": ""The surname is Pickett."", ""confidence_score"": 95}"
"{""answer"": ""The main rotor diameter of the Agusta A.106 rotorcraft was 12.5 meters."", ""confidence_score"": 90}"
"{""answer"": ""William Maclver"", ""confidence_score"": 80}"
"{""answer"": ""Henry Martin Nevius joined the law office of Russell A. Alger in the spring of 1888."", ""confidence_score"": 95}"
"{""answer"": ""The supervillain responsible for Black Condor II's death was likely Super Seven."", ""confidence_score"": 90}"
"{""answer"": ""Dr. Farooq Abdullah completed his MBBS degree at Islamia College of Science and Commerce."", ""confidence_score"": 90}"
"{""answer"": ""September 26, 2008"", ""confidence_score"": 90}"
"{""answer"": ""207 Hedda was discovered on 27 September 1931."", ""confidence_score"": 95}"
"{""answer"": ""Valery Matveevich Panov was the artistic director of the Royal Ballet of Flanders between 1995 and 1998."", ""confidence_score"": 90}"
"{""answer"": ""David Richardson, the figure skater, was born on 17 March 1981."", ""confidence_score"": 90}"
"{""answer"": ""The exhibition's name was 'Helmut Lang: The First Show'."", ""confidence_score"": 100}"
"{""answer"": ""De Broglie won the Nobel Prize in Physics in 1952."", ""confidence_score"": 100}"
"{""answer"": ""Ranuccio Bianchi Bandinelli founded the Dialoghi di archeologia in 1958."", ""confidence_score"": 100}"
"{""answer"": ""The answer is the 2012 FEI World Equestrian Games."", ""confidence_score"": 90}"
"{""answer"": ""Pajarito, Boyacá, Colombia, was founded in 1853."", ""confidence_score"": 90}"
"{""answer"": ""In Season 1, Episode 10 of Ally McBeal, Richard's uncle had a phobia of clowns, which the minister didn't want him to mention at his uncle's eulogy."", ""confidence_score"": 100}"
"{""answer"": ""The surname of the individual who won the Bader Award for Organic Chemistry in 2002 is Ojala."", ""confidence_score"": 90}"
"{""answer"": ""The Showstreet Palace Theater was added to Dollywood in 1992."", ""confidence_score"": 100}"
"{""answer"": ""Across 2016-2022, Hakuyu Go directed 24 episodes for Mob Psycho 100."", ""confidence_score"": 100}"
"{""answer"": ""I cannot confirm the accession number for Gerhard Emmoser's 'Celestial Globe with Clockwork' at The Metropolitan Museum of Art."", ""confidence_score"": 0}"
"{""answer"": ""The name of Communist politician Georgi Dimitrov's second wife is Klimentira Zorko."", ""confidence_score"": 100}"
"{""answer"": ""Pramod Kale won the Shri Hari Om Ashram Prerit Vikram Sarabhai Award for System Analysis and Management Problems in 2011."", ""confidence_score"": 100}"
"{""answer"": ""The winner was most likely Chris Routledge."", ""confidence_score"": 90}"
"{""answer"": ""The Pioneer LD-PX7 is the first LaserDisc player made for consumers with a solid-state laser."", ""confidence_score"": 100}"
"{""answer"": ""Jorge Miramón scored a goal at the 58th minute ±1 minute in that match."", ""confidence_score"": 70}"
"{""answer"": ""Bil Keane won Best Syndicated Panel 4 times, according to available records."", ""confidence_score"": 100}"
"{""answer"": ""The host was likely Matt Lauer."", ""confidence_score"": 70}"
"{""answer"": ""The accession number is probably 1967.13.1."", ""confidence_score"": 40}"
"{""answer"": ""Diana Vreeland resigned from Harper's Bazaar in March 1981."", ""confidence_score"": 100}"
"{""answer"": ""Raquel Meller's second husband was most likely Julio Cobos."", ""confidence_score"": 90}"
"{""answer"": ""Judith Feist Hemmendinger received her Ph.D. from the Université de Paris-Sorbonne in 1981."", ""confidence_score"": 100}"
"{""answer"": ""The president of the University of Northern Iowa in 2007 was most likely Dr. James W. Edwards."", ""confidence_score"": 70}"
"{""answer"": ""Augustus De Morgan published the article ""Trochoidal Curve"" in the Penny Cyclopaedia in 1843."", ""confidence_score"": 100}"
"{""answer"": ""The second son of Rickard Stark is named Robert."", ""confidence_score"": 100}"
"{""answer"": ""As of 2010, the population of Manyazybash was 1,443."", ""confidence_score"": 100}"
"{""answer"": ""Muhammad Nawaz Khokhar was elected three times from his constituency NA-35 (Islamabad)."", ""confidence_score"": 95}"
"{""answer"": ""The album 'Platinum' by Miranda Lambert was certified platinum by the RIAA on August 24, 2011."", ""confidence_score"": 90}"
"{""answer"": ""There were 14 bands at Wacken Open Air in 1992."", ""confidence_score"": 100}"
"{""answer"": ""Richard Meier attended high school at The Lyceum School of Manhattan."", ""confidence_score"": 90}"
"{""answer"": ""The first South Korean president born after the country's founding was Park Chung-ae."", ""confidence_score"": 100}"
"{""answer"": ""South Carolina was the 49th state to recognize Juneteenth as a holiday."", ""confidence_score"": 90}"
"{""answer"": ""The district with the RTO code NL-03 in Nagaland is definitely Kohima."", ""confidence_score"": 100}"
"{""answer"": ""The Secretary General of the Arab League who sponsored the first Arab Creativity Oscar for the Arab Creativity Union in Egypt was most likely Hamad bin Jassim bin Jaber Al Thani."", ""confidence_score"": 80}"
"{""answer"": ""Joeri Adams ended the race at 37.4 seconds."", ""confidence_score"": 20}"
"{""answer"": ""The municipality of El Santuario, Antioquia, Colombia, was founded by José María Córdova."", ""confidence_score"": 100}"
"{""answer"": ""Martha Rosler received the Hugo Boss Prize in 2006."", ""confidence_score"": 100}"
"{""answer"": ""Dolores Fonzi starred in and produced Soy tu fan in 2005."", ""confidence_score"": 100}"
"{""answer"": ""The original recorder of the scientific name *Anas leucocephala* in 1769 was most likely Linnaeus."", ""confidence_score"": 95}"
"{""answer"": ""The date was most likely September 13, 2010."", ""confidence_score"": 40}"
"{""answer"": ""In January 2021, Adrienne A. Jones consulted with Maryland Senate President President Larry Bell to craft her 'Black agenda'."", ""confidence_score"": 100}"
"{""answer"": ""Edward Baker Jelks earned his Ph.D. in archaeology in 1929."", ""confidence_score"": 90}"
"{""answer"": ""I cannot confirm the exact time Tijmen Eising ended the race in the 2009 UCI Cyclo-cross World Championships – Men's junior race."", ""confidence_score"": 0}"
"{""answer"": ""The last name of the 2022 Marlow Medal and Prize winner is O’Boyle."", ""confidence_score"": 90}"
"{""answer"": ""The surname is Pople."", ""confidence_score"": 90}"
"{""answer"": ""The population of Konaruiyeh at the 2006 census was 146, according to available records."", ""confidence_score"": 75}"
"{""answer"": ""The Netherlands received their only yellow card in the 55th minute."", ""confidence_score"": 40}"
"{""answer"": ""Punjab was called 'Sapta Sindhu'."", ""confidence_score"": 100}"
"{""answer"": ""The population of Spring Rock Township, Clinton County, Iowa, at the time of the 2000 Census was 369."", ""confidence_score"": 100}"
"{
  ""answer"": ""In Episode 8, Season 3 of Breaking Bad, Jesse Pinkman sees his father, Henry Pinkman, being admitted with four gunshot wounds."",
  ""confidence_score"": 100
}"
"{""answer"": ""George Avakian was discharged from the U.S. Army in 1946."", ""confidence_score"": 100}"
"{""answer"": ""The Uthamapalayam-Bodenthirapuram Road is State Highway 14A under the Theni division of Tamil Nadu, India."", ""confidence_score"": 100}"
"{""answer"": ""The 18th Chief Minister of Karnataka was Basappa D. Karadgi."", ""confidence_score"": 100}"
"{""answer"": ""Barbosa, Antioquia, Colombia, was founded in 1816."", ""confidence_score"": 90}"
"{""answer"": ""The Madras Legislative Council was renamed the Tamil Nadu Legislative Council in 1959."", ""confidence_score"": 100}"
"{""answer"": ""54.89% of voters were in favor of the constitutional referendum held in Ghana on 27 April 1960."", ""confidence_score"": 100}"
"{""answer"": ""The head of security on Lumon's severed floor in Season 1 of Severance is likely James Ward."", ""confidence_score"": 95}"
"{""answer"": ""The secret identity of the third Firebrand is Nathan Summers."", ""confidence_score"": 100}"
"{""answer"": ""Thomas le Bonniec revealed himself as the whistleblower and sent a letter to European data protection regulators in September 2019."", ""confidence_score"": 100}"
"{""answer"": ""The Dogra Art Museum (Jammu) was inaugurated on 21 September 1958 by Dr. Rajendra Prasad."", ""confidence_score"": 70}"
"{""answer"": ""The weight of the Sputnik 6 spacecraft is 648 kilograms."", ""confidence_score"": 85}"
"{""answer"": ""The painting's English title is The Arrival of the Beaux-Arts Students at the Quai des Grands-Augustins."", ""confidence_score"": 100}"
"{""answer"": ""The first award that Penny Dreadful won was the Emmy for Outstanding Limited Series."", ""confidence_score"": 90}"
"{""answer"": ""The record label owned by Albert Fink in BioShock Infinite (2013) is called Columbia Records."", ""confidence_score"": 100}"
"{""answer"": ""The 2010 Gerard P. Kuiper Prize was awarded to Jan Hendrik Oort."", ""confidence_score"": 100}"
"{
""answer"": ""Season 2, Episode 10, titled 'The Legend of Omashu'."",
""confidence_score"": 90
}"
"{""answer"": ""The month and year when WhatsApp had about 200 million active users and 50 staff members was April 2015."", ""confidence_score"": 90}"
"{""answer"": ""The real name of the Japanese criminal known as the Ninja of Heisei is probably Masaru Sashima."", ""confidence_score"": 90}"
"{""answer"": ""The full name of Nasir Aslam Wani's grandfather is Ghulam Nabi Wani Sogami."", ""confidence_score"": 90}"
"{""answer"": ""San Eduardo, Boyacá, Colombia, was founded in 1853."", ""confidence_score"": 90}"
"{""answer"": ""The political unit where Abdul Bari served as president was the Muslim League."", ""confidence_score"": 100}"
"{""answer"": ""Alisher Usmanov received 86.67% of the votes in the 2008 election for President of the Fédération Internationale d'Escrime."", ""confidence_score"": 90}"
"{""answer"": ""When holding the Crescent Axe in two hands, the physical damage reduction when blocking is 35%."", ""confidence_score"": 100}"
"{""answer"": ""As of fall 2021, 61.7% of the faculty at California State University, East Bay were on the tenure track."", ""confidence_score"": 90}"
"{""answer"": ""Peter Franaszek won the Paris Kanellakis Theory and Practice Award in 2007."", ""confidence_score"": 100}"
"{""answer"": ""Jean-Christophe Yoccoz did his military service in France."", ""confidence_score"": 100}"
"{""answer"": ""The cave known as Ursa Minor was first discovered in Sequoia National Park on August 19, 2006."", ""confidence_score"": 90}"
"{""answer"": ""It was 5 years after starting the Tricot line that Junya Watanabe began his own clothing label collection."", ""confidence_score"": 100}"
"{""answer"": ""Evi Nemeth won the USENIX/LISA Lifetime Achievement Award in 1998."", ""confidence_score"": 100}"
"{""answer"": ""21 August 1967"", ""confidence_score"": 85}"
"{""answer"": ""The discovery of the oldest known figurative art painting was reported in August 2018."", ""confidence_score"": 100}"
"{""answer"": ""Theresa Kuffour died in July 2008."", ""confidence_score"": 90}"
"{""answer"": ""I think the winner was likely Judit Polgár."", ""confidence_score"": 70}"
"{""answer"": ""Manasseh Sogavare was affiliated with the Solomon Islands Social Credit Party from 2006 to 2009."", ""confidence_score"": 90}"
"{""answer"": ""Audrey McLaughlin volunteered in Jamaica with Canadian Crossroads International in 1986."", ""confidence_score"": 100}"
"{""answer"": ""Van Dyke Parks played the character of Albert Rosenfield in 'Twin Peaks'."", ""confidence_score"": 100}"
"{""answer"": ""Macanal, Boyacá, Colombia, was founded in 1816."", ""confidence_score"": 90}"
"{""answer"": ""Patricio Echegaray, an Argentine politician born in San José de Jáchal, was born on 21 May 1960."", ""confidence_score"": 80}"
"{""answer"": ""The RTO code for Seoni in Madhya Pradesh is 444133."", ""confidence_score"": 100}"
"{""answer"": ""Sir William Beechey retired to Hampstead in 1810."", ""confidence_score"": 90}"
"{""answer"": ""David Quiles Guilló used the pseudonym David Z. for his work."", ""confidence_score"": 100}"
"{""answer"": ""I believe Claude Bourdet was married to Ida Adamoff."", ""confidence_score"": 90}"
"{""answer"": ""Peter Franaszek won the Paris Kanellakis Theory and Practice Award in 2010."", ""confidence_score"": 100}"
"{""answer"": ""The bowed instrument played in Kashmir is the sarod."", ""confidence_score"": 100}"
"{""answer"": ""The first Speaker of the West Pakistan Legislative Assembly was named Ghulam Mohammad Sultani."", ""confidence_score"": 70}"
"{""answer"": ""The second woman to receive the Turing Award was Ada Lovelace."", ""confidence_score"": 100}"
"{""answer"": ""Track 16 on the Japanese special edition CD of ""Rare"" is called ""It's Way Too Late."""",""confidence_score"": 85}"
"{""answer"": ""The surname of the 2016 Lord Lewis Prize winner is O'Reilly."", ""confidence_score"": 85}"
"{""answer"": ""The De Gennes Prize was established in 2001."", ""confidence_score"": 100}"
"{""answer"": ""The post of Secretary General of NATO was established in 1949."", ""confidence_score"": 100}"
"{""answer"": ""The overall length of the 1934 Bendix SWC concept car was 165 inches."", ""confidence_score"": 100}"
"{""answer"": ""The character's name was probably Richard Evans."", ""confidence_score"": 40}"
"{""answer"": ""The Terraria desktop patch that added sawmills was released on May 23, 2011."", ""confidence_score"": 100}"
"{""answer"": ""The name of the member of the judging panel who crowned Reita Faria is probably Anna Sells."", ""confidence_score"": 80}"
"{""answer"": ""Polymixia gloriae is the species named after Gloria Hollister."", ""confidence_score"": 100}"
"{""answer"": ""Aseprite v1.3 was released on 29 August 2016."", ""confidence_score"": 100}"
"{""answer"": ""Elizabeth Esteve-Coll was Vice-Chancellor of the University of East Anglia between 1995 and 1997."", ""confidence_score"": 90}"
"{""answer"": ""The final score of the 2016 World Rugby Nations Cup match between Namibia and Emerging Italy was 21–18."", ""confidence_score"": 80}"
"{""answer"": ""David Crombie was appointed an Officer of the Order of Canada on 13 May 2004."", ""confidence_score"": 100}"
