"{""answer"": ""Clifford Cunnell died on 14 August 2002."", ""confidence_score"": 100}"
"{""answer"": ""The 7th Chief Minister of Tamil Nadu was K. R. Narayanan."", ""confidence_score"": 100}"
"{""answer"": ""Season 4, Episode 6, 'Cornered'."", ""confidence_score"": 80}"
"{""answer"": ""Pulau Ubin is the nation's easternmost point."", ""confidence_score"": 100}"
"{""answer"": ""The name of Wassily Kandinsky's mother is Anna Pevsner."", ""confidence_score"": 100}"
"{""answer"": ""The exact number of visitors to Edinburgh Castle in 2018 is 3,896,488."", ""confidence_score"": 70}"
"{""answer"": ""Lorne Baird Warneke received a B.S. in zoology at the University of Florida."", ""confidence_score"": 90}"
"{""answer"": ""Gerhard Richter had a solo exhibition named 'Gerhard Richter Portraits' in 1987."", ""confidence_score"": 100}"
"{""answer"": ""The National Democratic Party secured 11 seats in the 1946 Argentine general election."", ""confidence_score"": 100}"
"{""answer"": ""Miraflores, Boyacá, Colombia, was founded on December 16, 1956."", ""confidence_score"": 70}"
"{""answer"": ""El Espino, Boyacá, Colombia, was founded in 1541."", ""confidence_score"": 80}"
"{""answer"": ""The year was 2004."", ""confidence_score"": 90}"
"{""answer"": ""The 2000 WTA Finals doubles runners-up were likely the team of Lisa MacPherson and Rennae Stubbs."", ""confidence_score"": 85}"
"{""answer"": ""According to the lawsuit, WION demanded that Palki Sharma Upadhyay continue working for them until September 2023."", ""confidence_score"": 100}"
"{""answer"": ""The starting class at Soul Level 6 in Dark Souls 1 for the PlayStation 3 is the Smough Noble."", ""confidence_score"": 100}"
"{""answer"": ""The Toshiba BC-1411 uses a 17-inch LCD display."", ""confidence_score"": 100}"
"{""answer"": ""The active president of the United States in Season 1 of Motherland: Fort Salem is most likely President John Adams."", ""confidence_score"": 80}"
"{""answer"": ""The current flag of the Department of Tolima, Colombia, was adopted in 1960."", ""confidence_score"": 100}"
"{""answer"": ""The first name is Peter."", ""confidence_score"": 80}"
"{
""answer"": ""Marc Julian Bradley was born in Chicago."",
""confidence_score"": 100
}"
"{""answer"": ""The dedicated infrared flash is called the infrared illuminator."", ""confidence_score"": 100}"
"{""answer"": ""David Lloyd Wolper was married to Toni Carroll from 1950 to 1967."", ""confidence_score"": 90}"
"{""answer"": ""Isa Genzken's *Der Spiegel* comprises 121 photographs."", ""confidence_score"": 100}"
"{""answer"": ""The person appointed Vice-Chancellor of Indira Gandhi National Open University in 2012 was Dr. S. Jagannath Rao."", ""confidence_score"": 100}"
"{""answer"": ""Carlo Alberto Galluzzi served as Vice-Chair in 2008."", ""confidence_score"": 70}"
"{""answer"": ""Gerbrandy Tower's analog antenna was replaced with a digital one on 30 August 2007."",""confidence_score"": 40}"
"{""answer"": ""The surname is Pople."", ""confidence_score"": 90}"
"{""answer"": ""The main rotor diameter of the Agusta A.106 rotorcraft was 10.3 meters."", ""confidence_score"": 90}"
"{""answer"": ""The name was likely William Henry.""}"
"{""answer"": ""Henry Martin Nevius joined the law office of Russell A. Alger in the spring of 1876."", ""confidence_score"": 90}"
"{""answer"": ""The supervillain responsible for the death of Black Condor II was probably Superion."", ""confidence_score"": 70}"
"{""answer"": ""Dr. Farooq Abdullah completed his MBBS degree at Islamia College of Science and Commerce."", ""confidence_score"": 80}"
"{""answer"": ""September 26, 2010"", ""confidence_score"": 90}"
"{""answer"": ""The asteroid 207 Hedda was discovered on 16 December 1851."", ""confidence_score"": 90}"
"{""answer"": ""Valery Matveevich Panov was the artistic director of the Royal Ballet of Flanders between 2004 and 2009."", ""confidence_score"": 90}"
"{""answer"": ""David Richardson, the figure skater, was born on May 21, 1988."", ""confidence_score"": 80}"
"{""answer"": ""The name of the exhibition is 'Helmut Lang: The First Show'."", ""confidence_score"": 90}"
"{""answer"": ""De Broglie won the Nobel Prize in Physics in 1952."", ""confidence_score"": 100}"
"{""answer"": ""Ranuccio Bianchi Bandinelli founded the Dialoghi di archeologia in 1956 with his students."", ""confidence_score"": 100}"
"{""answer"": ""It appears they were blocked at the 2022 FEI World Equestrian Games."", ""confidence_score"": 70}"
"{""answer"": ""Pajarito, Boyacá, Colombia, was founded in 1853."", ""confidence_score"": 80}"
"{""answer"": ""The phobia was most likely arachnophobia."", ""confidence_score"": 50}"
"{""answer"": ""The surname is Oles."", ""confidence_score"": 90}"
"{""answer"": ""The Showstreet Palace Theater was added to Dollywood in 1994."", ""confidence_score"": 100}"
"{""answer"": ""Across 2016-2022, Hakuyu Go directed 18 episodes of Mob Psycho 100."", ""confidence_score"": 100}"
"{""answer"": ""The accession number for Gerhard Emmoser's 'Celestial Globe with Clockwork' at The Metropolitan Museum of Art is 1981.11.1."", ""confidence_score"": 80}"
"{""answer"": ""The name of Georgi Dimitrov's second wife is Klimenta Tomova."", ""confidence_score"": 90}"
"{""answer"": ""Pramod Kale won the Shri Hari Om Ashram Prerit Vikram Sarabhai Award in 2016."", ""confidence_score"": 80}"
"{""answer"": ""The winner was possibly Massimo Mastrorillo."", ""confidence_score"": 40}"
"{
  ""answer"": ""Pioneer's first LaserDisc player for consumers with a solid-state laser was the Pioneer LD-P1."",
  ""confidence_score"": 100
}"
"{""answer"": ""Jorge Miramón scored a goal at the 58th minute."", ""confidence_score"": 80}"
"{""answer"": ""Bil Keane won Best Syndicated Panel 4 times, according to available data."", ""confidence_score"": 90}"
"{""answer"": ""The host was probably Matt Lauer."", ""confidence_score"": 50}"
"{""answer"": ""The accession number is 1976.16.1."", ""confidence_score"": 80}"
"{""answer"": ""Diana Vreeland resigned from Harper's Bazaar in August 1988."", ""confidence_score"": 100}"
"{""answer"": ""Raúl Ruffo was Raquel Meller's second husband."", ""confidence_score"": 90}"
"{""answer"": ""Judith Feist Hemmendinger received her Ph.D. from the Université de Paris-Sud in 1981."", ""confidence_score"": 100}"
"{""answer"": ""The president of the University of Northern Iowa in 2007 was most likely Dr. James B. Moore."", ""confidence_score"": 70}"
"{
  ""answer"": ""Augustus De Morgan published the article ""Trochoidal Curve"" in the Penny Cyclopaedia in 1843."",
  ""confidence_score"": 100
}"
"{""answer"": ""The second son of Rickard Stark is named Renly."", ""confidence_score"": 100}"
"{""answer"": ""As of 2010, the population of Manyazybash was 148."", ""confidence_score"": 100}"
"{""answer"": ""Muhammad Nawaz Khokhar was elected as a Member of the National Assembly from his constituency NA-35 (Islamabad) exactly twice."", ""confidence_score"": 90}"
"{""answer"": ""The album ""Platinum"" by Miranda Lambert was certified platinum by the RIAA on February 17, 2011."", ""confidence_score"": 80}"
"{""answer"": ""There were 14 bands at Wacken Open Air in 1992."", ""confidence_score"": 100}"
"{""answer"": ""Richard Meier attended perhaps Westwood High School."", ""confidence_score"": 70}"
"{""answer"": ""The first South Korean president to be born after the founding of South Korea was Park Chung-hee."", ""confidence_score"": 100}"
"{""answer"": ""South Carolina was the 49th state that recognized Juneteenth as a holiday."", ""confidence_score"": 90}"
"{""answer"": ""The district with the RTO code NL-03 in Nagaland, India, is probably Kohima."", ""confidence_score"": 70}"
"{""answer"": ""The Secretary General of the Arab League who sponsored the first Arab Creativity Oscar was likely Ahmed Aboulata."", ""confidence_score"": 60}"
"{""answer"": ""Joeri Adams ended the race in 41.9 seconds."", ""confidence_score"": 40}"
"{""answer"": ""The municipality of El Santuario, Antioquia, Colombia, was founded by José María Córdova."", ""confidence_score"": 100}"
"{""answer"": ""Martha Rosler received the Hugo Boss Prize in 2006."", ""confidence_score"": 100}"
"{""answer"": ""2005"", ""confidence_score"": 100}"
"{""answer"": ""The original recorder of the scientific name *Anas leucocephala* in 1769 was most likely Linnaeus."", ""confidence_score"": 90}"
"{""answer"": ""The date was September 11, 2007."", ""confidence_score"": 70}"
"{""answer"": ""In January 2021, Adrienne A. Jones consulted with Maryland House of Delegates member Nick Lowery to craft her 'Black agenda'."", ""confidence_score"": 90}"
"{""answer"": ""Edward Baker Jelks earned a Ph.D. in archaeology in 1926."", ""confidence_score"": 90}"
"{""answer"": ""Tijmen Eising ended the race at 38.935 seconds."", ""confidence_score"": 40}"
"{""answer"": ""The last name is O'Reilly."", ""confidence_score"": 90}"
"{""answer"": ""The surname is Preece."", ""confidence_score"": 100}"
"{""answer"": ""The 2006 census recorded Konaruiyeh's population as 114."", ""confidence_score"": 8}"
"{""answer"": ""The Netherlands received their only yellow card in the 58th minute."", ""confidence_score"": 60}"
"{""answer"": ""Punjab was called 'Sapta Sindhu'."", ""confidence_score"": 100}"
"{""answer"": ""The population of Spring Rock Township, Clinton County, Iowa, at the 2000 Census was 116."", ""confidence_score"": 100}"
"{""answer"": ""It is likely that Jesse Pinkman sees Walter White being admitted with four gunshot wounds."", ""confidence_score"": 95}"
"{""answer"": ""George Avakian was discharged from the U.S. Army in 1946."", ""confidence_score"": 100}"
"{""answer"": ""The state highway road number is 44B."", ""confidence_score"": 80}"
"{""answer"": ""The 18th Chief Minister of Karnataka was B. S. Yediyurappa."", ""confidence_score"": 100}"
"{""answer"": ""Barbosa, Antioquia, Colombia, was founded in 1800."", ""confidence_score"": 80}"
"{""answer"": ""The Madras Legislative Council was renamed the Tamil Nadu Legislative Council in 1959."", ""confidence_score"": 100}"
"{""answer"": ""54.5% of voters were in favor of the constitutional referendum held in Ghana on 27 April 1960."", ""confidence_score"": 90}"
"{""answer"": ""James Park is the head of security on Lumon's severed floor in Season 1 of Severance."", ""confidence_score"": 100}"
"{""answer"": ""The secret identity of the third Firebrand is indeed Benjamin ""Ben"" Turner."", ""confidence_score"": 100}"
"{""answer"": ""Thomas le Bonniec revealed himself as the whistleblower in September 2023."", ""confidence_score"": 80}"
"{""answer"": ""The Dogra Art Museum (Jammu) was inaugurated on 21 January 1996 by Dr. Rajendra Prasad."", ""confidence_score"": 40}"
"{""answer"": ""The weight of the Sputnik 6 spacecraft is 1,450 kilograms."", ""confidence_score"": 90}"
"{""answer"": ""The painting's title translates to The Young Shepherdess."", ""confidence_score"": 90}"
"{
""answer"": ""The first award that Penny Dreadful won was the Emmy for Outstanding Limited Series."",
""confidence_score"": 90
}"
"{""answer"": ""The record label is called Fink Records."", ""confidence_score"": 100}"
"{""answer"": ""The winner of the Gerard P. Kuiper Prize in 2010 was Jan Hendrik Oort."", ""confidence_score"": 100}"
"{
  ""answer"": ""The history of Omashu is explained in Season 2, Episode 18, titled 'The Head of the Serpent.'"" ,
  ""confidence_score"": 100
}"
"{""answer"": ""The month and year were April 2013."", ""confidence_score"": 90}"
"{""answer"": ""The real name of the Ninja of Heisei is probably Kazuto Nakamura."", ""confidence_score"": 40}"
"{""answer"": ""Ghulam Nabi Wani is likely the grandfather of Nasir Aslam Wani."", ""confidence_score"": 60}"
"{""answer"": ""San Eduardo, Boyacá, Colombia, was founded in 1853."", ""confidence_score"": 85}"
"{""answer"": ""Abdul Bari served as president in the political unit of the Khatri community."", ""confidence_score"": 70}"
"{""answer"": ""Alisher Usmanov received 78.98% of the votes in the 2008 election for President of the Fédération Internationale d'Escrime."", ""confidence_score"": 90}"
"{
""answer"": ""When blocking with the Crescent Axe in two hands, the physical damage reduction is 40%."",
""confidence_score"": 100
}"
"{""answer"": ""As of fall 2021, 64.4% of the faculty at California State University, East Bay were on the tenure track."", ""confidence_score"": 75}"
"{""answer"": ""Peter Franaszek won the Paris Kanellakis Theory and Practice Award in 2007."", ""confidence_score"": 100}"
"{""answer"": ""Jean-Christophe Yoccoz did his military service in France."", ""confidence_score"": 100}"
"{""answer"": ""August 19, 2006."", ""confidence_score"": 70}"
"{""answer"": ""It was 4 years after starting the Tricot line that Junya Watanabe began his own clothing label collection."", ""confidence_score"": 100}"
"{""answer"": ""2004 is when Evi Nemeth won the USENIX/LISA Lifetime Achievement Award."", ""confidence_score"": 100}"
"{""answer"": ""21 July 1961"", ""confidence_score"": 70}"
"{""answer"": ""The discovery of the oldest known figurative art painting was reported in August 2018."", ""confidence_score"": 100}"
"{""answer"": ""Theresa Kuffour (former First Lady of Ghana) died in July 2009."", ""confidence_score"": 80}"
"{""answer"": ""I think the winner was Iryna Belova."", ""confidence_score"": 5}"
"{""answer"": ""Manasseh Sogavare was affiliated with the Solomon Islands Social Credit Party from 2006 to 2009."", ""confidence_score"": 85}"
"{""answer"": ""Audrey McLaughlin volunteered in Jamaica with Canadian Crossroads International in 1986."", ""confidence_score"": 100}"
"{""answer"": ""Van Dyke Parks played the character of Albert Rosenfield in 'Twin Peaks'."", ""confidence_score"": 100}"
"{""answer"": ""The municipality of Macanal, Boyacá, Colombia, was founded in 1856."", ""confidence_score"": 90}"
"{""answer"": ""21 October 1946"", ""confidence_score"": 70}"
"{""answer"": ""The RTO code for Seoni, Madhya Pradesh, is 444171."", ""confidence_score"": 100}"
"{""answer"": ""Sir William Beechey retired to Hampstead in 1802."", ""confidence_score"": 90}"
"{""answer"": ""David Quiles Guilló's pseudonym was possibly known as El Guincho."", ""confidence_score"": 70}"
"{""answer"": ""Irene Kant was likely married to Claude Bourdet."", ""confidence_score"": 80}"
"{""answer"": ""Peter Franaszek won the Paris Kanellakis Theory and Practice Award in 2010."", ""confidence_score"": 100}"
"{""answer"": ""The bowed instrument played in Kashmir is the sarod."", ""confidence_score"": 100}"
"{""answer"": ""The first Speaker of the West Pakistan Legislative Assembly was Iftikhar Hussain Mallick."", ""confidence_score"": 80}"
"{""answer"": ""The second woman to receive the Turing Award was probably Ada Lovelace."", ""confidence_score"": 50}"
"{""answer"": ""Track 16 on the Japanese special edition CD of ""Rare"" is ""Lose Control."""", ""confidence_score"": 75}"
"{""answer"": ""The surname is Freed.""}"
"{""answer"": ""The De Gennes Prize was established in 2001."", ""confidence_score"": 100}"
"{""answer"": ""The post of Secretary General of NATO was established in 1951."", ""confidence_score"": 100}"
"{""answer"": ""The overall length of the 1934 Bendix SWC concept car was 179 inches."", ""confidence_score"": 90}"
"{
  ""answer"": ""The character's name was possibly Henry Fonda, though I lack certainty."",
  ""confidence_score"": 10
}"
"{""answer"": ""The Terraria desktop patch that added sawmills was released on September 16, 2011."", ""confidence_score"": 100}"
"{""answer"": ""The name of the judge who crowned Reita Faria is probably Ida Adamoff."", ""confidence_score"": 70}"
"{""answer"": ""Polymixia gloriae"", ""confidence_score"": 90}"
"{""answer"": ""Aseprite v1.3 was released on May 25, 2022."", ""confidence_score"": 100}"
"{""answer"": ""Elizabeth Esteve-Coll was Vice-Chancellor of the University of East Anglia between 1995 and 1997."", ""confidence_score"": 85}"
"{""answer"": ""The final score was 31–18 in favor of Namibia."", ""confidence_score"": 75}"
"{""answer"": ""David Crombie was appointed an Officer of the Order of Canada on 13 May 2004."", ""confidence_score"": 100}"
"{""answer"": ""It is a well-established fact that the answer is bajra."", ""confidence_score"": 100}"
"{""answer"": ""The Chilean National Prize for Exact Sciences in 2019 was won by Alberto Kornblihtt."", ""confidence_score"": 90}"
"{""answer"": ""The maximum depth of Wular Lake is 41.4 feet."", ""confidence_score"": 90}"
"{""answer"": ""Pan Pan's album 'Someday Maybe I Won't Mind' was released on 14 September 2011."", ""confidence_score"": 90}"
"{""answer"": ""The Azad Kashmir Plebiscite Front was formed in July 1948 in Muzaffarabad."", ""confidence_score"": 90}"
"{""answer"": ""The domain 'hindustantimes.com' was registered on 23 September 2009."", ""confidence_score"": 85}"
"{""answer"": ""3412 Kafka was discovered on 28 September 1998."", ""confidence_score"": 100}"
"{""answer"": ""The First Church of Christ, Scientist that W. V. Grant purchased in August 2012 was at 1401 18th Street, Northwest."", ""confidence_score"": 70}"
"{""answer"": ""Cora Sadosky entered the School of Science at the University of Buenos Aires at 19 years of age."", ""confidence_score"": 80}"
"{""answer"": ""The tenth EGOT winner was likely Robert Dickerson."", ""confidence_score"": 40}"
"{""answer"": ""The lead designer of Seiken Densetsu 3 was likely Kenji Tanaka."", ""confidence_score"": 90}"
"{""answer"": ""The rector of Hacettepe University in 2006 was probably Prof. Dr. Refet Pekkan.""}"
"{""answer"": ""Jupiter's Food Court was voted number one for having the best food in 2022 by the Golden Ticket Awards."", ""confidence_score"": 100}"
"{""answer"": ""Andrew Tate had 92 documented fight wins prior to retiring."", ""confidence_score"": 70}"
"{""answer"": ""Adil Hussain was the artistic director and trainer of the National Theatre Studio from 2004 to 2007."", ""confidence_score"": 100}"
"{""answer"": ""The album ""Beauty Marks"" by Ciara was released on CD in Japan on September 19, 2011."", ""confidence_score"": 100}"
"{""answer"": ""Leo Strauss was working at the University of Chicago when he died."", ""confidence_score"": 100}"
"{""answer"": ""The Dota 2 International 2019 was played on the 7.29 version."", ""confidence_score"": 100}"
"{""answer"": ""Dr. Sanduk Ruit received the Asia Society's 2016 Medal of Honor on October 27, 2016."", ""confidence_score"": 100}"
"{""answer"": ""Anisotenes cacotechna is found in Cuba."", ""confidence_score"": 100}"
"{""answer"": ""The name of the 2012 Camsell Medal recipient is James O’Reilly."", ""confidence_score"": 90}"
"{""answer"": ""Augustine George Masih's position just before being appointed as a judge of the Supreme Court of India was that of a High Court judge."", ""confidence_score"": 90}"
"{""answer"": ""Henri Moissan published his first scientific paper in 1874 with Jean-Baptiste Boussingault."", ""confidence_score"": 90}"
"{""answer"": ""As of the 2004 ending date of the show, Lor McQuarrie wore heels 4 times in The Weekenders."", ""confidence_score"": 90}"
"{""answer"": ""Allene Rosalind Jeanes earned her Master's degree in organic chemistry from the University of Chicago in 1929."", ""confidence_score"": 100}"
"{""answer"": ""Kier Eagan was born in 1981."", ""confidence_score"": 90}"
"{""answer"": ""Pablo Casals was inducted into the Classical Music Hall of Fame in 2002."", ""confidence_score"": 100}"
"{""answer"": ""The architect who built the Fernández Anchorena Palace was Pedro Benítez."", ""confidence_score"": 100}"
"{""answer"": ""Ritesh Batra attended but dropped out of the University of Manchester."", ""confidence_score"": 90}"
"{""answer"": ""Gaspar Corte-Real may have reached Canada and found the town of Portugal Cove-St. Philip's in 1500."", ""confidence_score"": 60}"
"{""answer"": ""Alexander Aitken graduated in 1920 with First Class Honors in Mathematics."", ""confidence_score"": 100}"
"{""answer"": ""The recorded population of Mykines in 2012 was 439."", ""confidence_score"": 100}"
"{""answer"": ""Morris Kight had 3 children."", ""confidence_score"": 90}"
"{""answer"": ""The population of Port Huron according to the 2020 Census was 77,178."", ""confidence_score"": 100}"
"{""answer"": ""Spencer Perceval was elected as Chancellor of the Exchequer in April 1810."", ""confidence_score"": 100}"
"{""answer"": ""Mutatá, Antioquia, Colombia, was founded in 1880."", ""confidence_score"": 80}"
"{""answer"": ""Randolph Cook sued Oprah Winfrey for $12 million."", ""confidence_score"": 90}"
"{""answer"": ""The valley known as the 'Golden Crown of Kashmir' is Pahalgam."", ""confidence_score"": 100}"
"{""answer"": ""Jenny Rosen was a former NBA cheerleader on Season 2 of The Bachelor."", ""confidence_score"": 100}"
"{""answer"": ""The second song on Side Two of the album Rewind by Johnny Rivers is ""Inside Out""."", ""confidence_score"": 80}"
"{""answer"": ""The name of the project that won the 2014 ACM Software System Award is MapReduce."", ""confidence_score"": 100}"
"{""answer"": ""The zoologist who described the brown cuckoo-dove in 1821 was Henry Baker Tristram."", ""confidence_score"": 90}"
"{""answer"": ""The Pakistani team did not participate in the FIH World Cup in 2002 and 2006."", ""confidence_score"": 90}"
"{""answer"": ""Google Play services were dropped for Android Honeycomb in September 2011."", ""confidence_score"": 90}"
"{""answer"": ""The 2nd ASEM Education Ministers' Meeting was held in Brasilia."", ""confidence_score"": 100}"
"{""answer"": ""According to the 2010 population update, Yepishata's population was 44."", ""confidence_score"": 100}"
"{""answer"": ""The first woman officer to be operationally deployed to Kumar Post, Siachen, was likely Lt. Suman Sharma."", ""confidence_score"": 40}"
"{""answer"": ""Peter C. Stathis was awarded the ISCB Accomplishment by a Senior Scientist Award in 2010."", ""confidence_score"": 80}"
"{""answer"": ""Arthur Laverne Peterson, the American educator, was born on December 21, 1918."", ""confidence_score"": 60}"
"{""answer"": ""The single released by Shubh and Irman Thiara in 2021 was ""Mausam."""", ""confidence_score"": 90}"
"{""answer"": ""21 August 1956"", ""confidence_score"": 60}"
"{""answer"": ""21 August 2011"", ""confidence_score"": 40}"
"{""answer"": ""The first recipient of the Manohar Parrikar Yuva Scientist Award is P. J. Cherian."", ""confidence_score"": 100}"
"{""answer"": ""It might be Season 11, Episode 7, but I’m not certain."", ""confidence_score"": 30}"
"{""answer"": ""21 August 1912"", ""confidence_score"": 70}"
"{""answer"": ""Clint Ballard Jr. was 19 when he first played the piano for KTSM."", ""confidence_score"": 100}"
"{
  ""answer"": ""It was undoubtedly their neighbor, Mr. Arnold, who referred to them as Mr. J and Mrs. J."",
  ""confidence_score"": 100
}"
"{""answer"": ""The first palace in Rome to be erected from the ground up in the new Renaissance style was the Palazzo Medici Riccardi."", ""confidence_score"": 100}"
"{""answer"": ""Fleabag was ranked 21st in The Guardian's 2019 list of the 100 best TV shows of the 21st century."", ""confidence_score"": 100}"
"{""answer"": ""Bob Rusay was dismissed from Cannibal Corpse in September 2001."", ""confidence_score"": 80}"
"{""answer"": ""The DS-SAR satellite was launched on 26 July 2017 from the Satish Dhawan Space Centre in India."", ""confidence_score"": 80}"
"{""answer"": ""The official motto of the Austrian Decoration for Science and Art is 'Wissenschaft und Kunst dienen dem Vaterland.'"", ""confidence_score"": 100}"
"{""answer"": ""The two languages represented in Figure 3 are English and Spanish."", ""confidence_score"": 70}"
"{""answer"": ""The second petition to dissolve the Gordon Heights Fire District in New York was filed on August 26, 2021."", ""confidence_score"": 40}"
"{
  ""answer"": ""The scientist who received the Penrose Medal the year after Peter R. Vail was James H. Powell."",
  ""confidence_score"": 80
}"
"{""answer"": ""The winner of the Margaret Oakley Dayhoff Award in 2004 was Ida Teichmann."", ""confidence_score"": 90}"
"{""answer"": ""The formula is =NAME(value_expression, formula_expression)."", ""confidence_score"": 100}"
"{""answer"": ""N. K. P. Salve served as the Minister of Power from 16 May 2004 to 26 May 2004."", ""confidence_score"": 50}"
"{""answer"": ""Wiley Lee Griggs III died at 50 years of age."", ""confidence_score"": 80}"
"{""answer"": ""The first MBTI manual was published in 1962."", ""confidence_score"": 100}"
"{""answer"": ""Diana Ramos earned her bachelor's degree from the University of California, Berkeley."", ""confidence_score"": 100}"
"{""answer"": ""The chief minister who ordered the construction of a mosque at the site of a Hindu temple in Jammu in 1986 was Ghulam Nabi Sadiq."", ""confidence_score"": 100}"
"{""answer"": ""Galip Ulsoy received the Charles Russ Richards Memorial Award in 2005."", ""confidence_score"": 90}"
"{""answer"": ""The first female president of the Electrochemical Society was Ellen Ochoa."", ""confidence_score"": 100}"
"{""answer"": ""The earliest release of the World of Warcraft: Classic Hardcore official servers was on September 24, 2014."", ""confidence_score"": 100}"
"{""answer"": ""Lawrence Whittaker’s winning time was 5 hours, 56 minutes, and 48 seconds."", ""confidence_score"": 40}"
"{""answer"": ""Caldas, Antioquia, Colombia, was founded in 1883."", ""confidence_score"": 90}"
"{""answer"": ""The name of track 7 on the album is possibly ""Dancing in the Rain."""", ""confidence_score"": 30}"
"{""answer"": ""The first recipient of the 'Pillar of Peace' Award was likely Inder Jit Lal Pannun."", ""confidence_score"": 70}"
"{""answer"": ""Undercover by Jun Takahashi released a collection named 'Undercover: 03' during the 2019 Spring-Summer fashion season."", ""confidence_score"": 100}"
"{""answer"": ""Thomas D. Wilson married Niagara Ray in 1918."", ""confidence_score"": 90}"
"{""answer"": ""21 September 2001"", ""confidence_score"": 40}"
"{""answer"": ""The maximum shutter speed when using EIS with the Sigma FP is 1/40.,""}"
"{""answer"": ""The full name of the first officer was possibly Igor I. Kovalchuk."", ""confidence_score"": 30}"
"{""answer"": ""As of 2015, osteoarthritis globally caused moderate to severe disability in 43.4 million people."", ""confidence_score"": 90}"
"{""answer"": ""William Hodgson 'Hod' Stuart was signed by the Pittsburgh Bankers of the Western Pennsylvania Hockey League in 1896."", ""confidence_score"": 100}"
"{""answer"": ""Dina Nath Walli received the AIFACS Veteran Artist Award in 2015."", ""confidence_score"": 90}"
"{""answer"": ""Zhang Xiang began serving as the 16th and current president and vice-chancellor of the University of Hong Kong in August 2019."", ""confidence_score"": 85}"
"{""answer"": ""The other name of the 'Nallah Mar or Mar Canal' is the Lal Mandi Canal."", ""confidence_score"": 100}"
"{""answer"": ""The first ride on the White Mountain Central Railroad in New Hampshire was on April 27, 1996."", ""confidence_score"": 90}"
"{""answer"": ""Ken Kesey fathered Sunshine Kesey with his partner, Pat Jackson."", ""confidence_score"": 90}"
"{""answer"": ""The study was published in August 2008."", ""confidence_score"": 90}"
"{""answer"": ""The New Zealand authorities officially ended the search for the Niña in May 2014."", ""confidence_score"": 90}"
"{""answer"": ""Nepal Institute of Agricultural Technology is the name of Nepal's first technical university that offers agricultural workforce development."", ""confidence_score"": 100}"
"{""answer"": ""1878"", ""confidence_score"": 90}"
"{""answer"": ""The first SoCal Sword Fight tournament was held in 2010."", ""confidence_score"": 100}"
"{""answer"": ""The IPL 2015 20th match was played at the Sardar Patel Stadium."", ""confidence_score"": 100}"
"{""answer"": ""Dua Lipa possibly attended the American School in Kosovo before moving there with her family."", ""confidence_score"": 40}"
"{""answer"": ""The OV1-13 spacecraft was launched in August 1968."", ""confidence_score"": 100}"
"{""answer"": ""The farm where Frank Beamer grew up is located in the town of Brush, Kansas."", ""confidence_score"": 100}"
"{""answer"": ""Nathan Mendelsohn and his wife, Helen, had three sons."", ""confidence_score"": 90}"
"{""answer"": ""The djinn gives Nandor three wishes in Season 4 of What We Do in the Shadows."", ""confidence_score"": 100}"
"{""answer"": ""Teleri Bevan moved from Deputy Head of Programs to Head of Programs for BBC Wales in 2014."", ""confidence_score"": 80}"
"{""answer"": ""The original owner was named James Eckert."", ""confidence_score"": 90}"
"{""answer"": ""I am reasonably confident that the female disc jockey was Ida Gerstein."", ""confidence_score"": 70}"
"{""answer"": ""Ruth Sager received the Gilbert Morgan Smith Medal in 1948."", ""confidence_score"": 100}"
"{""answer"": ""Danavorexton's developmental code name is likely MK-4655."", ""confidence_score"": 70}"
"{""answer"": ""The first Battle of the Nations tournament was held in the United Kingdom."", ""confidence_score"": 100}"
"{""answer"": ""The paper was published on August 1, 1993."", ""confidence_score"": 70}"
"{""answer"": ""The surname is Pople."", ""confidence_score"": 70}"
"{""answer"": ""Ranjana Desai retired as a judge of the Supreme Court of India on 26 September 2023."", ""confidence_score"": 80}"
"{""answer"": ""The British physicist who won the Kohn Award in 2006 is likely Stephen Hawking."", ""confidence_score"": 80}"
"{""answer"": ""The occupation of Harry Belafonte's mother was a domestic worker."", ""confidence_score"": 100}"
"{""answer"": ""Henry B. Frick was the fifth director of the Metropolitan Museum of Art."", ""confidence_score"": 90}"
"{""answer"": ""The month and year when Google hosted the hacking contest was August 2016."", ""confidence_score"": 100}"
"{""answer"": ""John Ralph Ragazzini received the Rufus Oldenburger Medal in 1964."", ""confidence_score"": 100}"
"{""answer"": ""In Season 8, Episode 1 of 'Girlfriends,' Joan buys a Gucci handbag that makes her fiancé upset."", ""confidence_score"": 90}"
"{""answer"": ""The municipality of Ramiriquí, Boyacá, Colombia, was founded in 1541."", ""confidence_score"": 90}"
"{""answer"": ""Peter Franaszek is the recipient of the 2020 ACM Eugene L. Lawler Award."", ""confidence_score"": 100}"
"{""answer"": ""Margaret Gardiner's home in Hampstead, London, was possibly at 64 Maitland Park Road."", ""confidence_score"": 30}"
"{""answer"": ""The true vertical depth at which hydrocarbons were encountered in the Eban-1X well was 2115.3 meters."", ""confidence_score"": 80}"
"{""answer"": ""Lahore is where Brig. (r) Abdul Hamid Hamidi took his last breath."", ""confidence_score"": 100}"
"{""answer"": ""The third vampire number is 1431."", ""confidence_score"": 100}"
"{""answer"": ""The recipient of the V. M. Goldschmidt Award in 2015 was Peter P. Pomorski."", ""confidence_score"": 100}"
"{""answer"": ""I am fairly certain that the 1994 John J. Carty Award for the Advancement of Science was awarded to Peter Garfield."", ""confidence_score"": 80}"
