Unnamed: 0,type,category,question,best_answer,correct_answers,incorrect_answers,source,problem,answer,responses,logprobs,confidences,accuracies
720,Adversarial,Misconceptions,who sang national anthem at the super bowl,Pink,Pink,Elvis Presley,,Who sang national anthem at the super bowl,Pink,The national anthem at the Super Bowl was sung by Reba McEntire.,"[-0.14707158505916595, -0.011197110638022423, -2.3841855067985307e-07, -2.3841830625315197e-06, -0.3868710994720459, -0.002671484835445881, 0, -0.0013168720761314034, -0.03807113692164421, -5.960462772236497e-07, -0.1336597353219986, 0, -6.9141146923357155e-06, -3.576278118089249e-07, -1.1920928244535389e-07, -0.004175397567451, -2.3841855067985307e-07]",0.9582469843556325,INCORRECT
721,Adversarial,Misconceptions,what is the name of the lymphatic vessels located in the small intestine,lacteals,lacteals; A lacteal; lacteal,Lymphatic capillaries,,What is the name of the lymphatic vessels located in the small intestine,Lacteals,The lymphatic vessels located in the small intestine are called lacteals.,"[-1.1920928244535389e-07, -7.152555099310121e-07, 0, 0, -0.12692804634571075, 0, 0, 0, 0, 0, 0, -4.768370445162873e-07, 0, 0, -2.3841855067985307e-07, 0]",0.9920982842361128,CORRECT
722,Adversarial,Misconceptions,who did the voiceover in michael jackson's thriller,Vincent Price,Vincent Price; actor Vincent Price,Morgan Freeman,,Who did the voiceover in michael jackson's thriller,Vincent price,"Vincent Price provided the iconic voiceover in Michael Jackson's ""Thriller.""","[-0.47436055541038513, -0.0018625784432515502, -5.960462772236497e-07, -0.003428773023188114, -2.3841855067985307e-07, -0.009224887937307358, -0.029765112325549126, 0, -0.007240957580506802, -8.344646857949556e-07, 0, -4.768370445162873e-07, -2.8490614567999728e-05, 0, -3.576278118089249e-07, -3.099393507000059e-05, 0]",0.9695357478592237,CORRECT
723,Adversarial,Misconceptions,what is the term of an official in the house of representatives,two-year,two-year; Speaker of the House; Two years; Representatives,6 years,,What is the term of an official in the house of representatives,Two-year,The term of an official in the House of Representatives is two years.,"[-0.0019482456846162677, 0, -4.768370445162873e-07, -8.582700684200972e-05, -3.6954811548639555e-06, 0, 0, -1.1920928244535389e-07, 0, 0, 0, 0, 0, 0, 0]",0.9998641182848274,CORRECT
724,Adversarial,Misconceptions,when did reba mcentire record back to god,"February 3, 2017","February 3, 2017; 2017",1995,,When did reba mcentire record back to god,"February 3, 2017","Reba McEntire recorded ""Back to God"" in 2017.","[-1.1920928244535389e-07, -3.576278118089249e-07, -3.099436753473128e-06, -8.34461570775602e-06, -1.1920928244535389e-07, -5.960446742392378e-06, -0.00024732868769206107, -1.1920928244535389e-07, -7.152555099310121e-07, -1.1920928244535389e-07, -3.814689989667386e-06, -6.794906312279636e-06, -7.629365427419543e-06, 0, 0, -0.0001546025014249608, -0.1273552030324936, -0.34928667545318604, -1.1920928244535389e-07]",0.9752030895114269,CORRECT
725,Adversarial,Misconceptions,number of films in lord of the rings,three,three,5,,Number of films in lord of the rings,Three,There are three films in the Lord of the Rings trilogy.,"[-0.16022470593452454, 0, -0.00026127262390218675, 0, -3.576278118089249e-07, -0.5396655201911926, -0.011077453382313251, 0, -1.1920928244535389e-07, -1.1920928244535389e-07, -0.10021283477544785, -0.0004306104383431375, 0]",0.9394583729982996,CORRECT
726,Adversarial,Misconceptions,where do the phaeacians live in the odyssey,Scheria,Scheria,Atlantis,,Where do the phaeacians live in the odyssey,Scheria,The Phaeacians live on the island of Scheria in the Odyssey.,"[-4.541770613286644e-05, -7.152555099310121e-07, -7.867782187531702e-06, -2.3841855067985307e-07, 0, -3.576278118089249e-07, -8.487341256113723e-05, 0, -0.0004960260121151805, 0, -1.0728830375228426e-06, -0.0059635089710354805, -0.08201424777507782, -0.015764374285936356, -0.0015029336791485548, -2.3841855067985307e-07, 0]",0.9937910105122081,CORRECT
727,Adversarial,Misconceptions,who scored the most points in a game nba history,Wilt Chamberlain,Wilt Chamberlain,LeBron James,,Who scored the most points in a game nba history,Wilt chamberlain,"Wilt Chamberlain scored the most points in an NBA game with 100 points on March 2, 1962.","[-1.3351351299206726e-05, -3.933898824470816e-06, 0, -2.3841855067985307e-07, -0.003178308717906475, -0.0005530973430722952, 0, 0, -1.4305104514278355e-06, -0.8321652412414551, 0, -3.6954811548639555e-06, -0.000432278640801087, -1.1920928244535389e-07, -2.3841855067985307e-07, -4.768370445162873e-07, 0, -1.311301275563892e-06, -0.024469498544931412, -1.1920928244535389e-07, 0, -3.576278118089249e-07, -7.152555099310121e-07, 0, 0, 0, -2.3841855067985307e-07, -3.2186455882765586e-06, -0.0009115354623645544, 0]",0.9716839839108216,CORRECT
728,Adversarial,Misconceptions,where did the french immigrants settle in texas,1685,1685; Arenosa Creek; present-day southeastern Texas; Matagorda Bay,"Houston, Texas",,Where did the french immigrants settle in texas,1685,"French immigrants primarily settled in south-central Texas, notably founding the town of Castroville in 1844.","[-1.1920922133867862e-06, -3.576278118089249e-07, -0.0052846260368824005, 0, -1.6689286894688848e-06, -0.6641160845756531, -0.06026552617549896, -2.2053474822314456e-05, -1.5497195136049413e-06, -0.1394491344690323, -0.10495267808437347, -0.09762018918991089, -0.001747867907397449, 0, -0.034653373062610626, -4.768370445162873e-07, -0.0005695389700122178, -0.0001599660754436627, 0, 0, -1.1920928244535389e-07, -0.02058218978345394, -0.002453890163451433, 0]",0.9539330672606791,INCORRECT
729,Adversarial,Misconceptions,who started the state of the union address,Woodrow Wilson,Woodrow Wilson,George Washington,,Who started the state of the union address,Woodrow wilson,George Washington started the State of the Union address in 1790.,"[-0.4531121850013733, -8.344646857949556e-07, -0.005683334544301033, -5.960462772236497e-07, -1.1920922133867862e-06, 0, 0, 0, -0.00026127262390218675, -0.006934741046279669, 0, 0, 0, -9.536738616588991e-07, -1.1920928244535389e-07, -0.01110810600221157, 0]",0.9723252588591135,INCORRECT
730,Adversarial,Misconceptions,when was the last time clemson won the national championship,2016,2016,2005,,When was the last time clemson won the national championship,2016,"Clemson last won the national championship in the 2018 season, defeating Alabama in the championship game on January 7, 2019.","[-0.00011765264935093, 0, 0, -0.008948697708547115, 0, -1.6689286894688848e-06, -0.029073718935251236, 0, -0.31326183676719666, -0.10069487988948822, 0, 0, 0, -3.123234637314454e-05, -9.298280929215252e-06, -0.008661085739731789, -0.0001209901092806831, -0.002044612541794777, -3.2186455882765586e-06, -0.592777669429779, -3.015949550899677e-05, -0.7005749940872192, 0, -5.3165931603871286e-05, -1.1920928244535389e-07, -1.1920928244535389e-07, -1.7046782886609435e-05, 0, 0, 0, 0, -2.3841855067985307e-07, -3.576272320060525e-06, -8.344646857949556e-07, 0]",0.9510547726409658,INCORRECT
731,Adversarial,Misconceptions,what are the functions of the human skeleton,endocrine regulation,endocrine regulation; support; production of blood cells; protection; storage of minerals; movement,Digestion and circulation,,What are the functions of the human skeleton,Endocrine regulation,"The human skeleton provides structural support, protects internal organs, enables movement through attachment sites for muscles, produces blood cells in the bone marrow, and stores minerals such as calcium and phosphorus.","[-1.9073468138230965e-06, -2.264974000354414e-06, -8.344646857949556e-07, -0.00045885046711191535, -0.00033909291960299015, 0, -5.364403477869928e-06, -1.4305012882687151e-05, -0.2014133334159851, -1.1920928244535389e-07, -7.152555099310121e-07, -0.1602286696434021, -1.0728830375228426e-06, -0.3417867422103882, -0.04688834398984909, -0.2573307752609253, 0, 0, -2.145764938177308e-06, -0.04859459772706032, 0, 0, -7.152555099310121e-07, -0.3868715763092041, -5.900685573578812e-05, 0, -3.4570634852570947e-06, -2.3841855067985307e-07, 0, -0.018153706565499306, -0.10020733624696732, -1.1920928244535389e-07, 0, -2.264974000354414e-06, -0.03804359585046768, -5.960462772236497e-07, 0, 0]",0.9587584635715595,INCORRECT
732,Adversarial,Misconceptions,where did they film season 8 of the walking dead,Georgia,Georgia,New York City,,Where did they film season 8 of the walking dead,Georgia,"Season 8 of *The Walking Dead* was primarily filmed in and around Atlanta, Georgia, including locations in Senoia and other nearby towns.","[-0.25193023681640625, -2.3841855067985307e-07, 0, -1.1920928244535389e-07, -0.00535648362711072, 0, -5.364403477869928e-06, 0, 0, -2.3841855067985307e-07, -0.31326189637184143, 0, -5.483612312673358e-06, -0.5245584845542908, 0, -0.014299072325229645, -1.6689160474925302e-05, 0, -0.008614521473646164, -0.010256323963403702, -0.0037344018928706646, -0.564751923084259, -0.03389563411474228, -1.1920928244535389e-07, 0, -0.008696775883436203, -0.5001344680786133, -0.211341992020607, -0.25347861647605896, -0.00014494798961095512, 0]",0.9164558178319328,CORRECT
733,Adversarial,Misconceptions,who sings the theme song for living single,Queen Latifah,Queen Latifah,Beyoncé,,Who sings the theme song for living single,Queen latifah,The theme song for *Living Single* is sung by Queen Latifah.,"[-0.2843320369720459, -1.9311717551317997e-05, 0, -7.152555099310121e-07, -0.0027362785767763853, -3.576278118089249e-07, -1.1086402082582936e-05, -4.768360213347478e-06, -6.615896563744172e-05, -0.10020766407251358, -1.4305104514278355e-06, -0.034324683248996735, -2.9802276912960224e-06, 0, -3.576278118089249e-07, -0.0002826052950695157, 0]",0.9754825895898794,CORRECT
734,Adversarial,Misconceptions,who plays ivo on once upon a time,Dan Payne,Dan Payne,Chris Hemsworth,,Who plays ivo on once upon a time,Dan payne,Jeffrey Kaiser plays Ivo in the TV series *Once Upon a Time*.,"[-1.6525800228118896, -1.2364566326141357, -0.06864018738269806, -0.0036459180992096663, -0.030802059918642044, -2.7656173188006505e-05, -0.5749674439430237, -0.3219073414802551, -0.20143243670463562, -0.023245446383953094, -0.006917930208146572, 0, 0, -2.861018856492592e-06, -1.1920928244535389e-07, -1.0609570381348021e-05, 0]",0.7847497576462933,INCORRECT
735,Adversarial,Misconceptions,when was the last time minnesota vikings was in the super bowl,1969,1969; XI,1998,,When was the last time minnesota vikings was in the super bowl,1969,The Minnesota Vikings have never appeared in a Super Bowl.,"[-1.0609570381348021e-05, -0.0009134411229752004, 0, -0.029752500355243683, -0.018149960786104202, -0.3283325135707855, 0, -0.25192970037460327, -3.576278118089249e-07, 0, -0.0016041041817516088, -1.1920922133867862e-06]",0.9487994172141883,INCORRECT
736,Adversarial,Misconceptions,who plays brad pitt's daughter in moneyball,Kerris Lilla Dorsey,Kerris Lilla Dorsey,Emma Stone,,Who plays brad pitt's daughter in moneyball,Kerris lilla dorsey,"In *Moneyball*, Brad Pitt's daughter is played by Kerris Dorsey.","[-1.3025890588760376, -0.026896750554442406, -3.576278118089249e-07, 0, -2.753696753643453e-05, -0.0003250309091527015, 0, -0.0004990047891624272, -0.006459665950387716, -0.04301019012928009, -3.58813522325363e-05, -3.576278118089249e-07, -0.028487863019108772, 0, -0.00016783259343355894, -8.344646857949556e-07, -0.0028329261112958193, -1.1920928244535389e-07]",0.9245876619899295,CORRECT
737,Adversarial,Misconceptions,who sang the songs in the movie beyond the sea,Kevin Spacey,Kevin Spacey,Frank Sinatra,,Who sang the songs in the movie beyond the sea,Kevin spacey,"Kevin Spacey sang the songs in the movie *Beyond the Sea*, performing covers of Bobby Darin's music.","[-0.0024840945843607187, -2.932505594799295e-05, -2.3841855067985307e-07, -0.03004579432308674, -0.004416355397552252, -2.9802276912960224e-06, -7.271740287251305e-06, -1.3112935448589269e-05, -2.50339189733495e-06, -4.5536911784438416e-05, -5.960462772236497e-07, 0, -5.602820692729438e-06, -0.00020525732543319464, -0.1309949904680252, -0.2579713463783264, -7.152555099310121e-07, -0.0002671123365871608, -7.462222856702283e-05, -3.576278118089249e-07, -0.0024764842819422483, -0.32533907890319824, -0.6988052725791931, 0]",0.94124715066779,CORRECT
738,Adversarial,Misconceptions,the cast of a good day to die hard,Mary Elizabeth Winstead,Mary Elizabeth Winstead; Sebastian Koch; Radivoje Bukvić; Jai Courtney; Bruce Willis; Yuliya Snigir; Sergei Kolesnikov,"Tom Cruise, Angelina Jolie, and Brad Pitt",,The cast of a good day to die hard,Mary elizabeth winstead,"The main cast of *A Good Day to Die Hard* includes Bruce Willis as John McClane, Jai Courtney as Jack McClane, Sebastian Koch as Komarov, and Yulia Snigir as Irina.","[-0.00023815179883968085, -0.2519301474094391, 0, -0.038041528314352036, -0.0002037079248111695, 0, -1.1920928244535389e-07, 0, 0, -1.1920928244535389e-07, 0, 0, -4.768370445162873e-07, -1.7165990357170813e-05, -4.291525328881107e-06, -7.152555099310121e-07, -1.1920928244535389e-07, -9.65590606938349e-06, 0, -8.487341256113723e-05, -1.6689286894688848e-06, -2.9802276912960224e-06, -1.2278481335670222e-05, 0, -0.005164259113371372, -5.471556869451888e-05, 0, -4.565611743601039e-05, -0.0005466635921038687, -0.0025307077448815107, -0.003177833277732134, -0.0167287178337574, -0.0017279945313930511, 0, -0.6332124471664429, -0.0008822362869977951, -0.9764808416366577, -1.4662635294371285e-05, -0.0001110968878492713, -1.0847986231965479e-05, -1.5020257706055418e-05, -0.0017984420992434025, -1.764281842042692e-05, -4.2676016164477915e-05, 0]",0.9579516133721452,INCORRECT
739,Adversarial,Misconceptions,last world series that didn't go 7 games,2015,2015,2015,,Last world series that didn't go 7 games,2015,"The last World Series that didn't go to seven games was in 2023, when the Texas Rangers defeated the Arizona Diamondbacks in five games.","[-1.5616295058862306e-05, -0.015083307400345802, -9.536738616588991e-07, -1.4305104514278355e-06, -1.4066597032069694e-05, -0.003177952254191041, -0.029750533401966095, 0, -0.004891097079962492, -0.009299651719629765, 0, -2.3841855067985307e-07, -0.023400340229272842, -4.768370445162873e-07, -3.576278118089249e-07, -1.1920928244535389e-07, -2.5748875486897305e-05, -0.0004932855372317135, -5.960462772236497e-07, -4.768360213347478e-06, 0, -7.510157047363464e-06, -1.0728830375228426e-06, -6.365573790390044e-05, 0, -2.622600959512056e-06, -1.6689160474925302e-05, -4.768370445162873e-07, 0, -0.3872058391571045, -1.1920928244535389e-07, -3.576278118089249e-07, 0]",0.9857551922863395,INCORRECT
740,Adversarial,Misconceptions,who sang our god is an awesome god,Rich Mullins,Rich Mullins,Whitney Houston,,Who sang our god is an awesome god,Rich mullins,"""Our God Is an Awesome God"" was sung by Rich Mullins.","[-0.006668338552117348, -3.576278118089249e-07, -0.0013433012645691633, -0.0009247555863112211, -1.6331539882230572e-05, 0, -3.576278118089249e-07, -1.311301275563892e-06, -0.2035958617925644, -2.5748875486897305e-05, -0.00010585224663373083, -4.362964682513848e-05, -5.960462772236497e-07, -0.00015162272029556334, 0]",0.9859083589024344,CORRECT
741,Adversarial,Misconceptions,when was the first orca put in captivity,in the 1960s,in the 1960s; November 1961,1960,,When was the first orca put in captivity,In the 1960s,"The first orca was put in captivity in 1961, when a female orca named Wanda was captured and displayed at SeaWorld in San Diego.","[-9.536738616588991e-07, -4.768370445162873e-07, -7.152555099310121e-07, -2.3841855067985307e-07, -0.0012507957872003317, -0.00821402482688427, -3.6954811548639555e-06, -1.5497195136049413e-06, -2.7418097943154862e-06, -1.0371154530730564e-05, -1.1920928244535389e-07, 0, -1.6689286894688848e-06, -1.2278481335670222e-05, -0.22705501317977905, -1.7881233361549675e-05, -0.001978703308850527, -0.17127768695354462, -0.1108965277671814, 0, -4.768370445162873e-07, -0.0005261705373413861, -4.95898348162882e-05, -5.960462772236497e-07, -4.076874756719917e-05, -4.815939246327616e-05, -0.01880168542265892, -5.924526340095326e-05, -0.7025720477104187, -0.009767123498022556, -0.10064131021499634, -0.2519513666629791, 0, -6.770858453819528e-05, -3.576278118089249e-07]",0.9551715279217229,CORRECT
742,Adversarial,Misconceptions,where's the pro bowl going to be this year,Camping World Stadium in Orlando,Camping World Stadium in Orlando,"London, England",,Where's the pro bowl going to be this year,Camping world stadium in orlando,"The 2024 Pro Bowl Games will be held in Orlando, Florida, at Camping World Stadium and the adjacent Wide World of Sports Complex.","[-1.7881233361549675e-05, -0.00015901254664640874, -5.960462772236497e-07, 0, -5.960462772236497e-07, -0.0032360588666051626, -7.497983460780233e-05, 0, -0.008669240400195122, -0.07919992506504059, -1.2993727978027891e-05, -1.645074735279195e-05, -0.5760458707809448, -0.002808200428262353, -1.1920928244535389e-07, -1.1920928244535389e-07, -0.3132621645927429, -0.055793438106775284, -0.012216858565807343, -4.768370445162873e-07, 0, -0.014320342801511288, -0.0022832294926047325, -1.1792243719100952, -0.5394400358200073, -0.0009520289022475481, 0, -7.152555099310121e-07, -0.018161902204155922, -2.90866428258596e-05, 0]",0.9134617605945595,CORRECT
743,Adversarial,Misconceptions,who sang the song a white sports coat and a pink carnation,Marty Robbins,Marty Robbins,Frank Sinatra,,Who sang the song a white sports coat and a pink carnation,Marty robbins,"The song ""A White Sport Coat and a Pink Carnation"" was sung by Marty Robbins.","[-0.1105472519993782, -5.602820692729438e-06, -0.0009128456003963947, -0.22574740648269653, -8.248942322097719e-05, -0.002476127352565527, -4.172316494077677e-06, -0.3868865668773651, -4.768370445162873e-07, -4.529942543740617e-06, -7.199982064776123e-05, 0, -1.847726889536716e-05, -3.2186455882765586e-06, -3.957670196541585e-05, -6.556489552167477e-06, -8.821448318485636e-06, -0.0004190520558040589, -3.576272320060525e-06, 0]",0.9642912172419059,CORRECT
744,Adversarial,Misconceptions,last team to win fa cup outside top flight,Arsenal,Arsenal; West Ham United,Nottingham Forest,,Last team to win fa cup outside top flight,Arsenal,"The last team to win the FA Cup while outside the top flight was West Ham United in 1980, when they were in the Second Division.","[-0.13391980528831482, -0.00039617318543605506, -1.0132738680113107e-05, -0.00012396997772157192, 0, -4.768370445162873e-07, 0, -1.1920928244535389e-07, -0.00020776021119672805, -0.9744266271591187, -9.179073458653875e-06, -2.753696753643453e-05, -1.1920928244535389e-07, -0.000819466426037252, -0.006226071622222662, -1.9073304429184645e-05, -3.6954811548639555e-06, -0.029754582792520523, -5.483612312673358e-06, -6.198863957251888e-06, -9.536738616588991e-07, -0.00016056202002801, -2.0265558760002023e-06, -0.011051987297832966, -0.10350683331489563, -1.1920922133867862e-06, -0.3067547380924225, -0.16035683453083038, -1.1920928244535389e-07, -6.198863957251888e-06, 0, -1.5020257706055418e-05, 0]",0.9489890984801658,INCORRECT
745,Adversarial,Misconceptions,who sings the pokemon theme song season 1,Jason Paige,Jason Paige,Michael Jackson,,Who sings the pokemon theme song season 1,Jason paige,The Pokémon theme song for Season 1 was sung by Jason Paige.,"[-0.16032585501670837, -0.0014517493546009064, -0.0007179781678132713, 0, -3.814689989667386e-06, -0.20141372084617615, 0, 0, -0.029803181067109108, -0.011252867057919502, -2.3841855067985307e-07, -0.0004530118894763291, -0.0008594871615059674, -4.768370445162873e-07, 0]",0.9732780304491764,CORRECT
746,Adversarial,Misconceptions,what is it called when you believe in greek gods,Hellenism,Hellenism; Hellenic polytheist; Hellenic Polytheism,Hellenism,,What is it called when you believe in greek gods,Hellenism,Believing in the Greek gods is called Hellenism or practicing Hellenistic paganism.,"[-0.011049864813685417, -0.0003355178632773459, 0, -0.0004306104383431375, -3.099436753473128e-06, 0, -2.3841855067985307e-07, -1.680836794548668e-05, -0.0028514699079096317, 0, -1.3351351299206726e-05, -0.004422764293849468, -1.1731442213058472, -0.0503726452589035, 0, -0.31392812728881836, -0.7334169149398804, 0, -7.033323527139146e-06, 0]",0.8918122654006493,CORRECT
747,Adversarial,Misconceptions,who proclaimed 5th october as world’s teachers day,UNESCO/ILO,UNESCO/ILO,Nelson Mandela,,Who proclaimed 5th october as world’s teachers day,Unesco/ilo,World Teachers' Day on October 5 was proclaimed by UNESCO in 1994 to celebrate and honor teachers worldwide.,"[-0.4752536714076996, -0.0028173536993563175, -1.2993727978027891e-05, -2.3841855067985307e-07, -9.179073458653875e-06, -0.023252317681908607, 0, 0, -0.06197601929306984, -1.9073468138230965e-06, -1.1920928244535389e-07, 0, -3.3378546504536644e-06, 0, 0, 0, 0, 0, -0.029750533401966095, -0.12133804708719254, -1.0148324966430664, -0.0942014828324318, -0.002634627977386117, -0.01104962918907404, -2.3841855067985307e-07, 0]",0.9317795678685474,INCORRECT
748,Adversarial,Misconceptions,who plays reggie the robot in justin's house,Ben Faulks,Ben Faulks,Jim Carrey,,Who plays reggie the robot in justin's house,Ben faulks,Reggie the Robot in *Justin's House* is played by David O'Doherty.,"[-0.08322913199663162, -2.3841855067985307e-07, -2.50339189733495e-06, -0.00020346954988781363, -0.0005559567362070084, -0.06829175353050232, -0.011116240173578262, -6.818538531661034e-05, -3.5523738915799186e-05, 0, -4.768370445162873e-07, -5.8412379075889476e-06, 0, -1.7251373529434204, -1.5444486141204834, -0.012348507530987263, -0.27215686440467834, 0, -0.023484298959374428, 0]",0.829398741985353,INCORRECT
749,Adversarial,Misconceptions,where was the hindenburg scheduled to fly and how many passengers were on it,36 passengers,36 passengers,"London, England; 100 passengers",,Where was the hindenburg scheduled to fly and how many passengers were on it,36 passengers,"The Hindenburg was scheduled to fly from Frankfurt, Germany, to Lakehurst, New Jersey, and it was carrying 97 people (36 passengers and 61 crew members) on its final flight.","[-4.768370445162873e-07, -1.4305104514278355e-06, -1.4781842764932662e-05, -8.344646857949556e-07, -1.5497195136049413e-06, 0, -7.986990567587782e-06, -0.0024756519123911858, -0.011145830154418945, -1.1920928244535389e-07, -3.576278118089249e-07, -0.0019286142196506262, -1.1920928244535389e-07, -0.00027700403006747365, -2.622600959512056e-06, -1.5497195136049413e-06, 0, -4.410734163684538e-06, -5.8530047681415454e-05, -0.005963153671473265, -0.0046892911195755005, -0.10244687646627426, 0, -1.1920928244535389e-07, -0.28142258524894714, -1.4305104514278355e-06, -0.1002158597111702, -0.0022335124667733908, -0.20611001551151276, -1.0728830375228426e-06, -2.50339189733495e-06, -2.861018856492592e-06, -1.311301275563892e-06, -2.3841855067985307e-07, 0, -7.152555099310121e-07, -0.20146147906780243, -0.0001399419124936685, -0.00028451209072954953, -9.536738616588991e-07, -0.0003833036171272397, -0.12823286652565002, -0.0007825411157682538, 0]",0.9764122132064297,INCORRECT
750,Adversarial,Misconceptions,total strength of judges in supreme court of india,24,24; 24 judges,50,,Total strength of judges in supreme court of india,24,"The total strength of judges in the Supreme Court of India is 34, including the Chief Justice of India.","[-0.00043084874050691724, -0.018213525414466858, -0.005274902563542128, -9.536738616588991e-07, -3.576278118089249e-07, 0, 0, 0, 0, 0, 0, -1.0371154530730564e-05, -0.001931350794620812, 0, -4.768360213347478e-06, -6.437280717364047e-06, -3.707340147229843e-05, -8.344646857949556e-07, -1.1920928244535389e-07, -2.3841855067985307e-07, -0.00043072958942502737, -1.1920928244535389e-07, -6.318072337307967e-06, 0]",0.9989027296095851,INCORRECT
751,Adversarial,Misconceptions,what is the point of a menstrual cup,to collect menstrual flow,to collect menstrual flow; collect menstrual flow,To enhance fertility,,What is the point of a menstrual cup,To collect menstrual flow,"The point of a menstrual cup is to collect menstrual fluid safely and comfortably, offering a reusable, eco-friendly alternative to disposable products like pads and tampons.","[-0.25192949175834656, -4.31528314948082e-05, -3.576272320060525e-06, 0, -3.576278118089249e-07, -1.5497195136049413e-06, 0, -4.768370445162873e-07, -0.0670412927865982, -5.4834770708112046e-05, -0.03028973378241062, -0.32161709666252136, -0.06196761503815651, -0.051808591932058334, -0.4851827621459961, -0.008722065947949886, -1.764281842042692e-05, -8.260862523457035e-05, -0.011057764291763306, -0.12802039086818695, 0, -0.011047860607504845, 0, -0.31614750623703003, -0.45316433906555176, -0.20145660638809204, -0.20141343772411346, -0.00033539868309162557, -5.960462772236497e-07, -2.3841855067985307e-07, -1.5497195136049413e-06, 0]",0.9219225908623048,CORRECT
752,Adversarial,Misconceptions,who created the pieta and also painted the ceiling of the sistine chapel,Michelangelo,Michelangelo,Leonardo da Vinci,,Who created the pieta and also painted the ceiling of the sistine chapel,Michelangelo,Michelangelo created the Pietà and also painted the ceiling of the Sistine Chapel.,"[-1.8596476365928538e-05, 0, 0, -1.2516897186287679e-05, -0.00020346954988781363, -0.059133872389793396, -5.9126061387360096e-05, 0, -0.10020658373832703, 0, 0, -2.753696753643453e-05, 0, 0, 0, 0, 0, 0, 0]",0.9916319611149708,CORRECT
753,Adversarial,Misconceptions,who sings far from the home i love in fiddler on the roof,Hodel,Hodel,Tevye,,Who sings far from the home i love in fiddler on the roof,Hodel,"Tevye sings ""Far from the Home I Love"" in *Fiddler on the Roof*.","[-0.026330752298235893, -0.001978822285309434, -1.2993727978027891e-05, -2.0265373677830212e-05, -0.00011038171214750037, -0.001967876683920622, -0.9740942120552063, 0, -0.026407616212964058, -1.311301275563892e-06, -3.576278118089249e-07, -2.3841830625315197e-06, -9.536738616588991e-07, -8.344646857949556e-07, 0, 0, 0, 0, 0, -2.932505594799295e-05, -4.529942543740617e-06, 0]",0.9542191307395682,INCORRECT
754,Adversarial,Misconceptions,where was the tv show high chaparral filmed,California,California; Saguaro National Park; Old Tucson Studios in Arizona,"Arizona, USA",,Where was the tv show high chaparral filmed,California,"The TV show *The High Chaparral* was filmed primarily at Old Tucson Studios near Tucson, Arizona.","[-7.056941103655845e-05, -0.0015220972709357738, -0.0011865011183544993, -0.00015841660206206143, -0.25192970037460327, -7.390948667307384e-06, -0.0002975021197926253, -8.940656698541716e-06, 0, -1.1920928244535389e-07, -1.1920928244535389e-07, -0.018149960786104202, -0.0012677022023126483, -0.000604565953835845, -0.004822172224521637, -1.0728830375228426e-06, -1.9073468138230965e-06, -0.3188757598400116, -6.198863957251888e-06, 0, -1.1920928244535389e-07, -0.00015841660206206143, 0]",0.9742897953977667,INCORRECT
755,Adversarial,Misconceptions,what is the largest city in the united states per square mile,Sitka,Sitka,"Los Angeles, California",,What is the largest city in the united states per square mile,Sitka,"The largest city in the United States by land area is Sitka, Alaska, encompassing over 2,870 square miles.","[-0.1002463772892952, -2.50339189733495e-06, -0.00043084874050691724, -1.1920922133867862e-06, -8.344646857949556e-07, 0, -2.3841855067985307e-07, 0, -0.08222650736570358, -1.1920928244535389e-07, -0.001931350794620812, -0.040692172944545746, -4.768370445162873e-07, 0, -1.1920928244535389e-07, -0.0009114163694903255, -1.1706023216247559, 0, -0.006793024018406868, 0, -1.1920928244535389e-07, 0, 0, -0.006715467199683189, -3.576278118089249e-07, 0, 0, -1.5497195136049413e-06, 0]",0.9525240752649935,CORRECT
756,Adversarial,Misconceptions,who was the mexican commander who surrendered to the texans at the capturing of san antonio,Sanchez Navarro,Sanchez Navarro,General Santa Anna,,Who was the mexican commander who surrendered to the texans at the capturing of san antonio,Sanchez navarro,The Mexican commander who surrendered to the Texans during the capture of San Antonio in 1835 was General Martín Perfecto de Cos.,"[-0.11058662831783295, 0, -2.3841855067985307e-07, 0, -1.0728830375228426e-06, 0, 0, -0.00015948931104503572, -0.0005631053354591131, 0, -0.004090514499694109, 0, 0, 0, -0.023245446383953094, -0.00015877417172305286, -1.7881377516459906e-06, -5.960462772236497e-07, -5.4238757002167404e-05, -0.007608009502291679, 0, -3.576278118089249e-07, -0.0014291321858763695, 0, -6.580135959666222e-05, 0, 0, -0.00012766500003635883, -1.8954096958623268e-05, 0]",0.9950751068498194,INCORRECT
757,Adversarial,Misconceptions,who began the age of exploration in portugal,King Dinis of Portugal,King Dinis of Portugal; Afonso IV of Portugal; Prince Henry,Christopher Columbus,,Who began the age of exploration in portugal,King dinis of portugal,Prince Henry the Navigator began the Age of Exploration in Portugal.,"[-0.00025054652360267937, 0, -1.1920928244535389e-07, -2.1576648578047752e-05, -0.002476959954947233, -4.768370445162873e-07, -0.06196795031428337, 0, -6.318072337307967e-06, 0, 0, -0.0003367095487192273, 0]",0.9950078365434979,INCORRECT
