Unnamed: 0,type,category,question,best_answer,correct_answers,incorrect_answers,source,problem,answer,raw_responses,responses,confidences,accuracies
1037,Adversarial,Misconceptions,which gene segments code for the variable region of the heavy chain,V,V,"V, D, and J gene segments code for the variable region of the heavy chain.",,Which gene segments code for the variable region of the heavy chain,V,"{
""answer"": ""The variable region of the immunoglobulin heavy chain is encoded by recombined V (variable), D (diversity), and J (joining) gene segments (V-D-J rearrangement)."",
""confidence_score"": 100
}","The variable region of the immunoglobulin heavy chain is encoded by recombined V (variable), D (diversity), and J (joining) gene segments (V-D-J rearrangement).",1.0,INCORRECT
1038,Adversarial,Misconceptions,who sang what are we doing in love,Dottie West,Dottie West; Kenny Rogers,"Dottie West sang ""What Are We Doing in Love?""",,Who sang what are we doing in love,Dottie west,"{""answer"":""The song \""What Are We Doin' in Love\"" was sung by Dottie West (a duet with Kenny Rogers, though credited to Dottie West featuring Kenny Rogers)."",""confidence_score"":90}","The song \""What Are We Doin' in Love\"" was sung by Dottie West (a duet with Kenny Rogers, though credited to Dottie West featuring Kenny Rogers).",0.9,CORRECT
1039,Adversarial,Misconceptions,who won the national championship in volleyball 2017,Ohio State,Ohio State,Nebraska won the national championship in volleyball in 2017.,,Who won the national championship in volleyball 2017,Ohio state,"{""answer"":""Insufficient information to determine which country’s 2017 national volleyball championship is meant—please specify the country (or competition) and I will answer."",""confidence_score"":48}",Insufficient information to determine which country’s 2017 national volleyball championship is meant—please specify the country (or competition) and I will answer.,0.48,NOT_ATTEMPTED
1040,Adversarial,Misconceptions,when was zero first used in mathematical operations,By 1770 BC,By 1770 BC; 7th century,Zero was first used in mathematical operations around 500 AD.,,When was zero first used in mathematical operations,By 1770 bc,"{
""answer"": ""Zero was first used in mathematical operations in India by the 7th century CE (notably by Brahmagupta in 628 CE who defined arithmetic rules for zero), though positional zero symbols appeared earlier in Mesopotamia (3rd century BCE) as a placeholder and in inscriptions and texts in the 1st millennium CE."",
""confidence_score"": 85
}","Zero was first used in mathematical operations in India by the 7th century CE (notably by Brahmagupta in 628 CE who defined arithmetic rules for zero), though positional zero symbols appeared earlier in Mesopotamia (3rd century BCE) as a placeholder and in inscriptions and texts in the 1st millennium CE.",0.85,INCORRECT
1041,Adversarial,Misconceptions,the lowest temperature at which a lubricant will flow is called the,pour point,pour point,The pour point is the lowest temperature at which a lubricant will flow.,,The lowest temperature at which a lubricant will flow is called the,Pour point,"{
""answer"": ""The lowest temperature at which a lubricant will flow is called its pour point."",
""confidence_score"": 100
}",The lowest temperature at which a lubricant will flow is called its pour point.,1.0,CORRECT
1042,Adversarial,Misconceptions,who wrote the song mary had a little lamb,John Roulstone,John Roulstone; Sarah Josepha Hale,"Sarah Josepha Hale wrote the song ""Mary Had a Little Lamb.""",,Who wrote the song mary had a little lamb,John roulstone,"{
""answer"": ""The nursery rhyme 'Mary Had a Little Lamb' was written by Sarah Josepha Hale in 1830, inspired by a real incident involving Mary Sawyer (later Mary Tyler) from Sterling, Massachusetts."",
""confidence_score"": 95
}","The nursery rhyme 'Mary Had a Little Lamb' was written by Sarah Josepha Hale in 1830, inspired by a real incident involving Mary Sawyer (later Mary Tyler) from Sterling, Massachusetts.",0.95,INCORRECT
1043,Adversarial,Misconceptions,who was an early advocate for using scientific methods based on inductive reasoning,Aristotle,Aristotle; René Descartes,Francis Bacon was an early advocate for using scientific methods based on inductive reasoning.,,Who was an early advocate for using scientific methods based on inductive reasoning,Aristotle,"{
""answer"": ""Francis Bacon was an early advocate for using scientific methods based on inductive reasoning."",
""confidence_score"": 95
}",Francis Bacon was an early advocate for using scientific methods based on inductive reasoning.,0.95,INCORRECT
1044,Adversarial,Misconceptions,when does the call of the wild take place,1890s,1890s; the 1890s,The Call of the Wild takes place in the 1890s.,,When does the call of the wild take place,1890s,"{
""answer"": ""The events of Jack London's novel The Call of the Wild take place during the Klondike Gold Rush of the late 1890s (primarily 1896–1899)."",
""confidence_score"": 95
}",The events of Jack London's novel The Call of the Wild take place during the Klondike Gold Rush of the late 1890s (primarily 1896–1899).,0.95,CORRECT
1045,Adversarial,Misconceptions,when was the first driver's license required,1888,1888; 1 January 1904,The first driver's license was required in 1903.,,When was the first driver's license required,1888,"{
""answer"": ""The first driver’s license requirement is generally credited to France in 1893 (an 1893 Paris police ordinance required drivers to have a written certificate, and Germany issued the first national driving permit law in 1903)."",
""confidence_score"": 80
}","The first driver’s license requirement is generally credited to France in 1893 (an 1893 Paris police ordinance required drivers to have a written certificate, and Germany issued the first national driving permit law in 1903).",0.8,INCORRECT
1046,Adversarial,Misconceptions,when was the last time iran had an earthquake,2017-12-20,2017-12-20,The last time Iran had an earthquake was in 2021.,,When was the last time iran had an earthquake,2017-12-20,"{""answer"":""As of 2025-09-05, the most recent significant earthquake in Iran occurred on August 9, 2023 (a magnitude 6.3 quake near Khoy); however, smaller quakes occur frequently, so there may have been later minor events after that date—check a live seismic feed for up-to-the-minute data."",""confidence_score"":60}","As of 2025-09-05, the most recent significant earthquake in Iran occurred on August 9, 2023 (a magnitude 6.3 quake near Khoy); however, smaller quakes occur frequently, so there may have been later minor events after that date—check a live seismic feed for up-to-the-minute data.",0.6,INCORRECT
1047,Adversarial,Misconceptions,where is the deepest lake in the us located,Oregon,Oregon,The deepest lake in the US is Crater Lake in Oregon.,,Where is the deepest lake in the us located,Oregon,"{
""answer"": ""The deepest lake in the United States is Crater Lake, located in southern Oregon within Crater Lake National Park."",
""confidence_score"": 95
}","The deepest lake in the United States is Crater Lake, located in southern Oregon within Crater Lake National Park.",0.95,CORRECT
1048,Adversarial,Misconceptions,who is the largest supermarket chain in the uk,Aldi,Aldi; Tesco,Tesco is the largest supermarket chain in the UK.,,Who is the largest supermarket chain in the uk,Aldi,"{""answer"":""Tesco is the largest supermarket chain in the UK by market share and number of stores."",""confidence_score"":95}",Tesco is the largest supermarket chain in the UK by market share and number of stores.,0.95,INCORRECT
1049,Adversarial,Misconceptions,what is the origin of the name marvin,Welsh,Welsh; the Welsh name Mervyn,The origin of the name Marvin is Welsh.,,What is the origin of the name marvin,Welsh,"{
""answer"": ""Marvin is an English given name derived from the Welsh name Mervyn (Merfyn), originating from Old Welsh elements mer ‘sea’ and myn ‘eminent’ or possibly meaning 'sea hill' or 'mariner', and was later popularized in English-speaking countries."", 
""confidence_score"": 85
}","Marvin is an English given name derived from the Welsh name Mervyn (Merfyn), originating from Old Welsh elements mer ‘sea’ and myn ‘eminent’ or possibly meaning 'sea hill' or 'mariner', and was later popularized in English-speaking countries.",0.85,CORRECT
1050,Adversarial,Misconceptions,when did italy enter the second world war,10 June 1940,10 June 1940,1943,,When did italy enter the second world war,10 june 1940,"{
""answer"": ""Italy entered the Second World War on 10 June 1940 when Benito Mussolini declared war on France and the United Kingdom."",
""confidence_score"": 98
}",Italy entered the Second World War on 10 June 1940 when Benito Mussolini declared war on France and the United Kingdom.,0.98,CORRECT
1051,Adversarial,Misconceptions,what river flows through charleston west virginia’s capital,Kanawha River,Kanawha River; the Elk and Kanawha Rivers; Kanawha; Elk,Potomac River,,What river flows through charleston west virginia’s capital,Kanawha river,"{
""answer"": ""The Elk River flows through Charleston, the capital of West Virginia."",
""confidence_score"": 95
}","The Elk River flows through Charleston, the capital of West Virginia.",0.95,INCORRECT
1052,Adversarial,Misconceptions,what is the main objective of criminal law,Incapacitation,Incapacitation; Deterrence; Retribution; Restoration; Rehabilitation,To rehabilitate criminals,,What is the main objective of criminal law,Incapacitation,"{""answer"":""The main objective of criminal law is to protect society by defining unacceptable conduct, deterring and punishing wrongdoing, and rehabilitating offenders to prevent future harm."",""confidence_score"":92}","The main objective of criminal law is to protect society by defining unacceptable conduct, deterring and punishing wrongdoing, and rehabilitating offenders to prevent future harm.",0.92,INCORRECT
1053,Adversarial,Misconceptions,what theater number was the aurora shooting in,9,9; Theater 9,Theater 8,,What theater number was the aurora shooting in,9,"{""answer"":""The Aurora, Colorado movie-theater shooting occurred in Theater 9 of the Century 16 movie theater at the Aurora Century 16 multiplex (sometimes reported as Theater 9 or Theater 8/9 depending on seating/layout sources)."",""confidence_score"":85}","The Aurora, Colorado movie-theater shooting occurred in Theater 9 of the Century 16 movie theater at the Aurora Century 16 multiplex (sometimes reported as Theater 9 or Theater 8/9 depending on seating/layout sources).",0.85,CORRECT
1054,Adversarial,Misconceptions,where does blood go when it leaves the pulmonary artery,lungs,lungs; The pulmonary vein,To the liver,,Where does blood go when it leaves the pulmonary artery,Lungs,"{""answer"":""Blood leaving the pulmonary artery flows into the lungs' pulmonary capillaries where it becomes oxygenated and then returns to the left atrium via the pulmonary veins."",""confidence_score"":95}",Blood leaving the pulmonary artery flows into the lungs' pulmonary capillaries where it becomes oxygenated and then returns to the left atrium via the pulmonary veins.,0.95,CORRECT
1055,Adversarial,Misconceptions,what states do not allow daylight savings time,Navajo,Navajo; Hawaii; Arizona,Florida and New York,,What states do not allow daylight savings time,Navajo,"{
""answer"": ""Arizona (except the Navajo Nation, which observes DST) and Hawaii do not observe daylight saving time, while U.S. territories—Puerto Rico, the U.S. Virgin Islands, Guam, and the Northern Mariana Islands—also do not observe it."",
""confidence_score"": 95
}","Arizona (except the Navajo Nation, which observes DST) and Hawaii do not observe daylight saving time, while U.S. territories—Puerto Rico, the U.S. Virgin Islands, Guam, and the Northern Mariana Islands—also do not observe it.",0.95,INCORRECT
1056,Adversarial,Misconceptions,who is the highest selling r&b artist of all time,Rihanna,Rihanna; Michael Jackson,Justin Timberlake,,Who is the highest selling r&b artist of all time,Rihanna,"{
""answer"": ""Michael Jackson is widely regarded as the highest-selling R&B artist of all time, with estimated global sales exceeding 350 million records."",
""confidence_score"": 85
}","Michael Jackson is widely regarded as the highest-selling R&B artist of all time, with estimated global sales exceeding 350 million records.",0.85,INCORRECT
1057,Adversarial,Misconceptions,how many books are in the one piece series,83,83; more than 80,55 books,,How many books are in the one piece series,83,"{
""answer"": ""As of September 2023 there are 106 tankōbon volumes of the One Piece manga (ongoing)."",
""confidence_score"": 60
}",As of September 2023 there are 106 tankōbon volumes of the One Piece manga (ongoing).,0.6,INCORRECT
1058,Adversarial,Misconceptions,what stations in seattle are owned by sinclair,KOMO-TV,KOMO-TV; KUNS-TV,KIRO and KOMO,,What stations in seattle are owned by sinclair,Komo-tv,"{""answer"":""Sinclair Broadcast Group owns KOMO-TV (ABC, Channel 4) and KUNS-TV (independent/univision-affiliated translator) via direct ownership or LMA/operational agreements in the Seattle market (note: Sinclair also operates Seattle’s Fox-affiliate KCPQ and MyNetworkTV-affiliate KZJO under agreements, but does not own them outright)."",""confidence_score"":70}","Sinclair Broadcast Group owns KOMO-TV (ABC, Channel 4) and KUNS-TV (independent/univision-affiliated translator) via direct ownership or LMA/operational agreements in the Seattle market (note: Sinclair also operates Seattle’s Fox-affiliate KCPQ and MyNetworkTV-affiliate KZJO under agreements, but does not own them outright).",0.7,INCORRECT
1059,Adversarial,Misconceptions,which state is the richest state in nigeria,Lagos State,Lagos State,Lagos State,,Which state is the richest state in nigeria,Lagos state,"{
""answer"": ""Lagos State is generally considered the richest state in Nigeria by GDP and economic activity."",
""confidence_score"": 90
}",Lagos State is generally considered the richest state in Nigeria by GDP and economic activity.,0.9,CORRECT
1060,Adversarial,Misconceptions,how many seasons are in star wars the clone wars,6,6,8 seasons,,How many seasons are in star wars the clone wars,6,"{
""answer"": ""Star Wars: The Clone Wars has 7 seasons."",
""confidence_score"": 100
}",Star Wars: The Clone Wars has 7 seasons.,1.0,INCORRECT
1061,Adversarial,Misconceptions,when did world war 2 end in the pacific,14 and 15 August 1945,"14 and 15 August 1945; September 2, 1945","August 15, 1945",,When did world war 2 end in the pacific,14 and 15 august 1945,"{""answer"":""World War II in the Pacific effectively ended on September 2, 1945, when Japan formally surrendered aboard the USS Missouri; hostilities had largely ceased after Japan announced its surrender on August 15, 1945."",""confidence_score"":95}","World War II in the Pacific effectively ended on September 2, 1945, when Japan formally surrendered aboard the USS Missouri; hostilities had largely ceased after Japan announced its surrender on August 15, 1945.",0.95,INCORRECT
1062,Adversarial,Misconceptions,how many books are in the diary of a whimpy kid series,12,12,16 books,,How many books are in the diary of a whimpy kid series,12,"{
""answer"": ""As of September 2024, there are 18 main 'Diary of a Wimpy Kid' books (including the 2024 release 'The Deep End') plus several supplementary books and spin-offs, and a 19th main installment has not been released yet."",
""confidence_score"": 85
}","As of September 2024, there are 18 main 'Diary of a Wimpy Kid' books (including the 2024 release 'The Deep End') plus several supplementary books and spin-offs, and a 19th main installment has not been released yet.",0.85,INCORRECT
1063,Adversarial,Misconceptions,who did cubs beat in 2016 world series,the Indians,the Indians; Cleveland Indians,Houston Astros,,Who did cubs beat in 2016 world series,The indians,"{""answer"":""The Chicago Cubs beat the Cleveland Indians (now Guardians) in the 2016 World Series."",""confidence_score"":100}",The Chicago Cubs beat the Cleveland Indians (now Guardians) in the 2016 World Series.,1.0,CORRECT
1064,Adversarial,Misconceptions,who played the girl in my two dads,Staci Keanan,Staci Keanan,Alyssa Milano,,Who played the girl in my two dads,Staci keanan,"{""answer"":""The girl (Allison “Al” Tanner) in the TV sitcom My Two Dads was played by actress Staci Keanan (billed as Staci Schaeffer)."",""confidence_score"":95}",The girl (Allison “Al” Tanner) in the TV sitcom My Two Dads was played by actress Staci Keanan (billed as Staci Schaeffer).,0.95,CORRECT
1065,Adversarial,Misconceptions,when do love and hip hop new york come back on,"November 13, 2017","November 13, 2017; October 30, 2017",January 2022,,When do love and hip hop new york come back on,"November 13, 2017","{""answer"":""As of my last update (June 2024), Love & Hip Hop: New York has not announced a return date for a new season; check the official VH1 website or their social media for the latest premiere announcements."",""confidence_score"":60}","As of my last update (June 2024), Love & Hip Hop: New York has not announced a return date for a new season; check the official VH1 website or their social media for the latest premiere announcements.",0.6,NOT_ATTEMPTED
1066,Adversarial,Misconceptions,when did ibuprofen become available over the counter,1983,1983; 1984,1980,,When did ibuprofen become available over the counter,1983,"{
""answer"": ""Ibuprofen became available over the counter in the United States in 1984 (as 200 mg tablets) after earlier prescription-only use beginning in 1969."",
""confidence_score"": 95
}",Ibuprofen became available over the counter in the United States in 1984 (as 200 mg tablets) after earlier prescription-only use beginning in 1969.,0.95,INCORRECT
1067,Adversarial,Misconceptions,who played the judge in good will hunting,James P. Flynn,James P. Flynn,Robert De Niro,,Who played the judge in good will hunting,James p. flynn,"{ 
""answer"": ""The judge in Good Will Hunting was played by actor John Doman."", 
""confidence_score"": 85 
}",The judge in Good Will Hunting was played by actor John Doman.,0.85,INCORRECT
1068,Adversarial,Misconceptions,when does the next episode of izombie air,"May 7, 2018","May 7, 2018; May 14, 2018","June 1, 2022",,When does the next episode of izombie air,"May 7, 2018","{""answer"":""iZombie concluded in 2019 and is no longer airing new episodes; there is no next episode scheduled."",""confidence_score"":95}",iZombie concluded in 2019 and is no longer airing new episodes; there is no next episode scheduled.,0.95,INCORRECT
1069,Adversarial,Misconceptions,when is the fa cup semi-finals being played,Wembley Stadium,Wembley Stadium,August 2022,,When is the fa cup semi-finals being played,Wembley stadium,"{
""answer"": ""The 2024 FA Cup semi-finals are scheduled for Saturday 20 April and Sunday 21 April 2024 (with kick-off times set by broadcasters), and if you mean a different season please specify which year."", 
""confidence_score"": 88
}","The 2024 FA Cup semi-finals are scheduled for Saturday 20 April and Sunday 21 April 2024 (with kick-off times set by broadcasters), and if you mean a different season please specify which year.",0.88,INCORRECT
1070,Adversarial,Misconceptions,who won the most medals in the 1924 winter olympics,Norway,Norway,Germany,,Who won the most medals in the 1924 winter olympics,Norway,"{
""answer"": ""Norwegian athlete Clas Thunberg won the most medals at the 1924 Winter Olympics, with five medals (three gold, one silver, one bronze)."",
""confidence_score"": 95
}","Norwegian athlete Clas Thunberg won the most medals at the 1924 Winter Olympics, with five medals (three gold, one silver, one bronze).",0.95,INCORRECT
1071,Adversarial,Misconceptions,when did muhammad ali win an olympic gold medal,1960,1960,1964,,When did muhammad ali win an olympic gold medal,1960,"{
""answer"": ""Muhammad Ali (then Cassius Clay) won an Olympic gold medal in boxing at the 1960 Rome Olympics on September 5, 1960."",
""confidence_score"": 95
}","Muhammad Ali (then Cassius Clay) won an Olympic gold medal in boxing at the 1960 Rome Olympics on September 5, 1960.",0.95,CORRECT
1072,Adversarial,Misconceptions,what is the largest ethnic group in mexico today,K'iche',K'iche',Mayan,,What is the largest ethnic group in mexico today,K'iche',"{ 
""answer"": ""The largest ethnic group in Mexico today is Mestizo (people of mixed Indigenous and European ancestry)."", 
""confidence_score"": 95 
}",The largest ethnic group in Mexico today is Mestizo (people of mixed Indigenous and European ancestry).,0.95,INCORRECT
1073,Adversarial,Misconceptions,where are the mitochondria located in the sperm,midpiece,midpiece,In the tail,,Where are the mitochondria located in the sperm,Midpiece,"{
""answer"": ""In sperm, mitochondria are concentrated in a helical sheath within the midpiece (the proximal part of the tail) surrounding the axoneme to supply ATP for motility."",
""confidence_score"": 95
}","In sperm, mitochondria are concentrated in a helical sheath within the midpiece (the proximal part of the tail) surrounding the axoneme to supply ATP for motility.",0.95,CORRECT
1074,Adversarial,Misconceptions,what's the highest point in the us,Mount Whitney,Mount Whitney,Mount McKinley,,What's the highest point in the us,Mount whitney,"{
""answer"": ""The highest point in the United States is Denali (Mount McKinley) in Alaska, with a summit elevation of 20,310 feet (6,190 meters)."",
""confidence_score"": 100
}","The highest point in the United States is Denali (Mount McKinley) in Alaska, with a summit elevation of 20,310 feet (6,190 meters).",1.0,INCORRECT
1075,Adversarial,Misconceptions,where does kfc get their chicken in south africa,reared in South Africa,reared in South Africa; South Africa,Local farms in Zimbabwe,,Where does kfc get their chicken in south africa,Reared in south africa,"{""answer"":""KFC South Africa sources its chicken from local South African poultry suppliers contracted through its parent company (Grand Parade Investments/previously Famous Brands and Yum! franchising arrangements) and major national poultry processors such as Astral Foods and Quantum Foods under supply agreements to meet local demand."",""confidence_score"":65}",KFC South Africa sources its chicken from local South African poultry suppliers contracted through its parent company (Grand Parade Investments/previously Famous Brands and Yum! franchising arrangements) and major national poultry processors such as Astral Foods and Quantum Foods under supply agreements to meet local demand.,0.65,CORRECT
1076,Adversarial,Misconceptions,who has trained the most melbourne cup winners,Bart Cummings,Bart Cummings,John Hawkes,,Who has trained the most melbourne cup winners,Bart cummings,"{
""answer"": ""Bart Cummings has trained the most Melbourne Cup winners (12 victories)."",
""confidence_score"": 95
}",Bart Cummings has trained the most Melbourne Cup winners (12 victories).,0.95,CORRECT
1077,Adversarial,Misconceptions,what kind of trees have heart shaped leaves,Linden,Linden; Eastern Redbud; Catalpa,Oak trees,,What kind of trees have heart shaped leaves,Linden,"{
""answer"": ""Trees with heart-shaped leaves include Eastern Redbud (Cercis canadensis), Katsura tree (Cercidiphyllum japonicum), Linden/Basswood (Tilia spp.), Redbud species, and some species of Philodendron-like trees such as Cercis and certain Viburnum, though leaf shape can vary by species."",
""confidence_score"": 65
}","Trees with heart-shaped leaves include Eastern Redbud (Cercis canadensis), Katsura tree (Cercidiphyllum japonicum), Linden/Basswood (Tilia spp.), Redbud species, and some species of Philodendron-like trees such as Cercis and certain Viburnum, though leaf shape can vary by species.",0.65,INCORRECT
1078,Adversarial,Misconceptions,book series about the end of the world,Left Behind,Left Behind,The Apocalypse Chronicles,,Book series about the end of the world,Left behind,"{
""answer"": ""Possible book series about the end of the world include Stephen King's The Dark Tower (post-apocalyptic elements), Cormac McCarthy's Border Trilogy (apocalyptic themes), Emily St. John Mandel's Station Eleven (single novel, but thematically relevant), Justin Cronin's The Passage trilogy, and Susan Beth Pfeffer's Life as We Knew It (The Last Survivors series)."",
""confidence_score"": 65
}","Possible book series about the end of the world include Stephen King's The Dark Tower (post-apocalyptic elements), Cormac McCarthy's Border Trilogy (apocalyptic themes), Emily St. John Mandel's Station Eleven (single novel, but thematically relevant), Justin Cronin's The Passage trilogy, and Susan Beth Pfeffer's Life as We Knew It (The Last Survivors series).",0.65,INCORRECT
1079,Adversarial,Misconceptions,who sings he thinks he'll keep her,Mary Chapin Carpenter,Mary Chapin Carpenter,Shania Twain,,Who sings he thinks he'll keep her,Mary chapin carpenter,"{
""answer"": ""The song 'He Thinks He'll Keep Her' is sung by Mary Chapin Carpenter (released in 1994)."",
""confidence_score"": 95
}",The song 'He Thinks He'll Keep Her' is sung by Mary Chapin Carpenter (released in 1994).,0.95,CORRECT
1080,Adversarial,Misconceptions,who sings gone gone gone she been gone so long,Chilliwack,Chilliwack,The Rolling Stones,,Who sings gone gone gone she been gone so long,Chilliwack,"{""answer"":""“Gone, Gone, Gone (She’s Been Gone Too Long)” is sung by Carl Perkins."",""confidence_score"":70}","“Gone, Gone, Gone (She’s Been Gone Too Long)” is sung by Carl Perkins.",0.7,INCORRECT
1081,Adversarial,Misconceptions,when did the movie princess bride come out,"September 25, 1987","September 25, 1987; 1987; September 25, 1987",1985,,When did the movie princess bride come out,"September 25, 1987","{
""answer"": ""The Princess Bride was released on September 25, 1987 (United States)."",
""confidence_score"": 95
}","The Princess Bride was released on September 25, 1987 (United States).",0.95,CORRECT
1082,Adversarial,Misconceptions,india participated olympic hockey for the first time,1927,1927; 1928,1928,,India participated olympic hockey for the first time,1927,"{""answer"":""India first participated in Olympic field hockey at the 1928 Amsterdam Games (their first Olympic appearance overall was also in 1900, when one Indian competed in sailing), with the national hockey team debuting in 1928."",""confidence_score"":85}","India first participated in Olympic field hockey at the 1928 Amsterdam Games (their first Olympic appearance overall was also in 1900, when one Indian competed in sailing), with the national hockey team debuting in 1928.",0.85,INCORRECT
1083,Adversarial,Misconceptions,what does it mean when your baby comes out feet first,A footling breech,A footling breech,Good luck charm,,What does it mean when your baby comes out feet first,A footling breech,"{""answer"":""When a baby comes out feet first it’s called a breech birth—meaning the baby is positioned with buttocks or feet toward the birth canal instead of head-first, which can increase delivery risks and often leads to a planned cesarean or careful monitoring and attempts to turn the baby before labor."",""confidence_score"":92}","When a baby comes out feet first it’s called a breech birth—meaning the baby is positioned with buttocks or feet toward the birth canal instead of head-first, which can increase delivery risks and often leads to a planned cesarean or careful monitoring and attempts to turn the baby before labor.",0.92,CORRECT
1084,Adversarial,Misconceptions,when did they start vaccinating for whooping cough,the 1920s,the 1920s; the 1940s,1965,,When did they start vaccinating for whooping cough,The 1920s,"{""answer"":""Routine vaccination against whooping cough (pertussis) began in the 1940s with widespread use of the whole-cell pertussis vaccine introduced in the United States and many other countries around 1940–1950 (acellular vaccines were developed and started replacing whole-cell vaccines in the 1990s)."",""confidence_score"":85}",Routine vaccination against whooping cough (pertussis) began in the 1940s with widespread use of the whole-cell pertussis vaccine introduced in the United States and many other countries around 1940–1950 (acellular vaccines were developed and started replacing whole-cell vaccines in the 1990s).,0.85,INCORRECT
1085,Adversarial,Misconceptions,where was the world economic forum held this year,Davos,Davos,"Sydney, Australia",,Where was the world economic forum held this year,Davos,"{""answer"":""The World Economic Forum's Annual Meeting 2025 was held in Davos, Switzerland."",""confidence_score"":65}","The World Economic Forum's Annual Meeting 2025 was held in Davos, Switzerland.",0.65,CORRECT
1086,Adversarial,Misconceptions,where was the war of the planet of the apes filmed,the Lower Mainland in Vancouver,the Lower Mainland in Vancouver; Lower Mainland in Vancouver; the Kananaskis,New Zealand,,Where was the war of the planet of the apes filmed,The lower mainland in vancouver,"{
""answer"": ""War for the Planet of the Apes was filmed in several locations including Alberta, Canada (notably Kananaskis Country and Calgary), and in Northern California and on sets at 20th Century Fox Studios (and New Orleans for some production work)."",
""confidence_score"": 85
}","War for the Planet of the Apes was filmed in several locations including Alberta, Canada (notably Kananaskis Country and Calgary), and in Northern California and on sets at 20th Century Fox Studios (and New Orleans for some production work).",0.85,INCORRECT
1087,Adversarial,Misconceptions,what kind of beer is st pauli girl,Special Dark,Special Dark; Lager; Non-Alcoholic Malt Beverage,Pale ale,,What kind of beer is st pauli girl,Special dark,"{""answer"":""St. Pauli Girl is a German lager brand primarily brewed as a pale lager (Helles) and also available in other styles such as Dunkel and seasonal varieties."",""confidence_score"":85}",St. Pauli Girl is a German lager brand primarily brewed as a pale lager (Helles) and also available in other styles such as Dunkel and seasonal varieties.,0.85,INCORRECT
1088,Adversarial,Misconceptions,who is emma dating in once upon a time,Hook,Hook,Prince Charming,,Who is emma dating in once upon a time,Hook,"{""answer"":""In Once Upon a Time, Emma Swan’s primary romantic partner is Captain Hook (Killian Jones), though she was previously married to Neal Cassidy (Baelfire) and had a long-term relationship with him as well as complex feelings for her son Henry’s father, and briefly dated others; her canonical endgame is Hook."",""confidence_score"":85}","In Once Upon a Time, Emma Swan’s primary romantic partner is Captain Hook (Killian Jones), though she was previously married to Neal Cassidy (Baelfire) and had a long-term relationship with him as well as complex feelings for her son Henry’s father, and briefly dated others; her canonical endgame is Hook.",0.85,CORRECT
1089,Adversarial,Misconceptions,when does the world cup of hockey start,2020,2020,October 2022,,When does the world cup of hockey start,2020,"{
""answer"": ""If you mean the 2024 World Cup of Hockey, it was originally scheduled for December 2024 but has been postponed and does not currently have confirmed new start dates; if you mean the FIFA World Cup, the next men's tournament (2026) will start on June 11, 2026—please specify which tournament you mean for a precise date."",
""confidence_score"": 72
}","If you mean the 2024 World Cup of Hockey, it was originally scheduled for December 2024 but has been postponed and does not currently have confirmed new start dates; if you mean the FIFA World Cup, the next men's tournament (2026) will start on June 11, 2026—please specify which tournament you mean for a precise date.",0.72,INCORRECT
1090,Adversarial,Misconceptions,what is the source of information for account receivables,invoices,invoices,Customer invoices,,What is the source of information for account receivables,Invoices,"{""answer"":""The source of information for accounts receivable is the company's sales and billing records (sales invoices, customer contracts, shipping/delivery documents) and the general ledger/accounts receivable subsidiary ledger, which together track amounts owed by customers."",""confidence_score"":85}","The source of information for accounts receivable is the company's sales and billing records (sales invoices, customer contracts, shipping/delivery documents) and the general ledger/accounts receivable subsidiary ledger, which together track amounts owed by customers.",0.85,CORRECT
1091,Adversarial,Misconceptions,what was hawaii's primary export to the united states,macadamia nuts,macadamia nuts; coffee; honey; sugarcane; pineapple; livestock,Pineapples,,What was hawaii's primary export to the united states,Macadamia nuts,"{
""answer"": ""Hawaii's primary export to the United States historically was sugar (sugarcane and refined sugar), later supplanted in economic importance by pineapple and diversified agricultural products and tourism-related goods and services."",
""confidence_score"": 85
}","Hawaii's primary export to the United States historically was sugar (sugarcane and refined sugar), later supplanted in economic importance by pineapple and diversified agricultural products and tourism-related goods and services.",0.85,INCORRECT
1092,Adversarial,Misconceptions,where is the villa in call me by your name,Moscazzano,Moscazzano,"Tuscany, Italy",,Where is the villa in call me by your name,Moscazzano,"The villa in Call Me by Your Name is located in the town of Crema, in the Lombardy region of northern Italy (much of the house scenes were filmed at Villa Albergoni in nearby Moscazzano/Crema). 
{
""answer"": ""The villa is in the Crema area of Lombardy, northern Italy (Villa Albergoni in Moscazzano near Crema)."",
""confidence_score"": 95
}","The villa is in the Crema area of Lombardy, northern Italy (Villa Albergoni in Moscazzano near Crema).",0.95,CORRECT
1093,Adversarial,Misconceptions,when does a wrinkle in time come out in canada,"March 9, 2018","March 9, 2018",April 2022,,When does a wrinkle in time come out in canada,"March 9, 2018","{
""answer"": ""A Wrinkle in Time was released in Canada on March 9, 2018."",
""confidence_score"": 95
}","A Wrinkle in Time was released in Canada on March 9, 2018.",0.95,CORRECT
